District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Bajali,30,266,158.74,437,"1,565.25",569,279.57,"1,091","3,470.97","2,760","5,313.81",135,78.25,1 .47
Baksa,38,544,71.71,548,"1,929.95",960,84.86,"1,235","4,125.28","4,006","8,198.17",511,243.22,2 .97
Barpeta,94,"2,373",478.62,"1,597","5,423.19","3,843",551.81,"3,919","11,371.59","10,079","17,351.40","1,161",733.59,4 .23
Biswanath,58,924,102.83,701,"2,108.00","1,886",269.81,"2,890","8,102.32","8,352","14,719.65","1,443",656.09,4 .46
Bongaigaon,63,"1,271",251.15,565,"1,706.19","1,732",294.94,"1,329","3,922.80","5,039","9,758.07",226,172.99,1 .77
Cachar,161,"1,423",415.45,"1,298","2,716.77","2,776",556.61,"3,372","7,042.61","7,777","11,357.39",851,440.18,3 .88
Charaideo,36,384,47.26,422,"1,359.05",625,67.42,"1,100","3,284.09","4,210","7,627.79",175,96.93,1 .27
Chirang,38,"1,045",193.69,306,889.48,"1,236",201.07,"1,142","3,041.23","2,972","5,780.91",408,250.41,4 .33
Darrang,70,"1,371",291.45,"1,338","3,877.91","2,497",302.70,"2,993","8,259.92","8,062","13,971.04",981,757.77,5 .42
Dhemaji,47,"2,237",358.84,962,"3,179.40","3,445",477.39,"3,577","9,847.98","7,886","15,616.55",735,319.55,2 .05
Dhubri,88,"3,944",729.81,"1,016","2,503.58","5,145","1,000.12","3,800","7,973.60","8,052","11,670.32","1,054",477.91,4 .10
Dibrugarh,181,"2,283",860.98,"1,489","4,955.94","3,963","1,337.00","4,408","12,036.06","8,528","17,380.64",419,206.51,1 .19
Dima Hasao,31,201,8.40,123,390.76,436,19.58,353,"1,055.48","1,224","2,200.10",82,31.29,1 .42
Goalpara,72,840,204.84,830,"2,534.86","1,495",252.30,"2,272","6,268.79","6,915","12,057.96",966,498.15,4 .13
Golaghat,121,"2,015",473.85,"1,267","4,255.53","3,621",716.34,"3,988","11,346.46","9,914","21,570.94",289,170.58,0 .79
Hailakandi,47,"1,070",583.44,417,883.27,"1,600",669.33,"1,118","2,284.63","3,260","4,613.55",500,228.73,4 .96
Hojai,59,"1,178",153.50,749,"1,824.23","1,675",222.04,"2,425","4,889.46","5,341","8,670.86",248,165.28,1 .91
Jorhat,134,"1,215",306.20,"1,032","3,458.04","2,150",435.80,"2,909","9,159.15","7,436","16,993.55",227,150.07,0 .88
Kamrup Metro,176,"1,437",263.95,"1,668","5,119.90","3,326","1,093.62","5,952","16,238.74","11,327","21,297.82","1,407","1,011.64",4 .75
Karbi Anglong,66,263,15.11,"1,057","2,924.83",539,22.23,"2,290","6,226.65","7,319","15,888.30",269,79.39,0 .50
Karimganj,92,882,315.12,550,"1,095.77","1,297",337.34,"1,764","3,378.53","5,197","7,140.20","1,057",502.49,7 .04
Kokrajhar,55,"3,135",496.23,547,"1,650.73","3,621",524.29,"1,518","4,092.24","4,230","6,747.41",448,317.33,4 .70
Lakhimpur,92,"1,964",561.16,"1,466","4,511.71","3,178",675.01,"4,418","11,746.79","10,326","17,916.17",769,345.06,1 .93
Majuli,16,127,22.11,150,485.20,282,29.20,294,923.64,"2,169","3,634.50",149,67.01,1 .84
Morigaon,67,"1,010",71.69,817,"2,113.80","1,961",181.67,"2,697","6,128.98","7,986","11,833.96","2,043","1,017.32",8 .60
Nagaon,154,"4,355",318.52,"2,439","8,014.29","5,828",379.74,"5,871","16,928.16","15,072","28,021.29",823,545.45,1 .95
Nalbari,86,769,239.84,"1,114","4,332.87","1,798",478.60,"3,177","10,972.66","9,649","18,665.36",874,451.37,2 .42
Sivasagar,97,"1,083",242.27,676,"1,999.11","2,251",385.69,"1,784","4,700.12","5,818","10,587.14",256,195.27,1 .84
Sonitpur,128,"2,692",656.18,"1,291","4,008.34","3,826",746.24,"3,532","10,208.51","9,546","17,272.43","1,418",633.24,3 .67
South Salmara,13,478,53.64,97,306.76,723,55.10,268,723.13,895,"1,366.50",177,61.16,4 .48
Tamulpur,21,620,244.35,257,791.01,670,244.48,540,"1,654.03","2,289","4,380.78",238,88.19,2 .01
Tinsukia,149,"1,288",401.15,"1,140","4,194.94","2,422",517.80,"3,077","9,918.44","7,776","16,356.18",449,222.47,1 .36
Udalguri,51,"1,718",333.12,695,"2,094.05","2,002",342.72,"1,438","4,265.21","4,389","7,447.00",697,429.29,5 .76
West Karbi Anglong,22,362,14.30,359,"1,018.04",418,14.49,871,"2,304.66","2,798","4,692.27",403,105.12,2 .24
