District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bajali,3 0,8565,7836.02,17762,9871.11,7,9.52,953,967.03,27287,18683.68
Baksa,3 8,12311,10644.53,8054,8592.61,2,11.09,1299,1211.75,21666,20459.98
Barpeta,9 4,39046,34217.86,34712,25283.08,70,164.02,3937,7224.56,77765,66889.52
Biswanath,5 8,23235,17769.13,13169,14985.18,17,491.42,2687,3335.98,39108,36581.71
Bongaigaon,6 3,14847,15529.15,17330,14964.95,4,9.29,2535,4719.05,34716,35222.44
Cachar,1 61,48267,33799.28,27557,19190.47,39,2968.39,7435,12258.70,83298,68216.84
Charaideo,3 6,10376,7118.48,7352,9050.99,12,9.28,2149,1317.14,19889,17495.89
Chirang,3 8,16509,13861.83,6419,7342.33,8,6.22,1536,1711.75,24472,22922.13
Darrang,7 0,29594,26510.66,31623,19598.37,175,187.19,3438,4504.97,64830,50801.19
Dhemaji,4 7,23371,18324.11,15091,14940.35,5,2.44,3739,3357.37,42206,36624.27
Dhubri,8 8,28196,20292.40,16527,13411.71,26,35.69,3403,3789.98,48152,37529.78
Dibrugarh,1 81,62344,48875.24,33873,23238.64,243,2434.44,11336,28767.97,107796,103316.29
Dima Hasao,3 1,1535,800.11,1623,2266.80,0,0,285,628.86,3443,3695.77
Goalpara,7 2,26643,21666.44,11607,12692.03,14,10.77,4347,3975.15,42611,38344.39
Golaghat,1 21,47261,31035.03,33834,28851.87,102,149.81,8988,15818.74,90185,75855.45
Hailakandi,4 7,17550,10757.24,4966,4790.11,4,2.26,2056,2366.92,24576,17916.53
Hojai,5 9,19634,13373.59,8669,7056.01,61,697.74,3530,3716.18,31894,24843.52
Jorhat,1 34,39398,24675.18,29328,25214.76,334,1318.53,7180,30121.22,76240,81329.69
Kamrup Metro,1 76,62766,50733.54,43089,28100.62,34,35.45,11401,9966.18,117290,88835.79
Karbi Anglong,6 6,31312,17747.32,13679,19446.73,4,25.72,1230,605.40,46225,37825.17
Karimganj,9 2,24814,17666.58,11510,9877.65,15,28.21,4791,7441.57,41130,35014.01
Kokrajhar,5 5,25254,23336.34,11731,10692.01,4,1.16,2017,2569.74,39006,36599.25
Lakhimpur,9 2,52898,39605.94,34278,22345.93,24,38.09,7664,8099.71,94864,70089.67
Majuli,1 6,4716,2731.29,3521,3678.21,2,1.55,396,616.55,8635,7027.60
Morigaon,6 7,36011,30181.83,20328,15717.41,35,90.95,6525,6384.15,62899,52374.34
Nagaon,1 54,74749,53414.19,65970,40854.31,114,401.65,11415,13056.44,152248,107726.59
Nalbari,8 6,28061,21739.65,38611,21953.50,14,28.75,3076,4961.74,69762,48683.64
Sivasagar,9 7,22651,15229.48,35748,19569.79,83,262.25,7457,9444.04,65939,44505.56
Sonitpur,1 28,28343,25667.30,39041,29990.32,67,117.58,7547,10236.72,74998,66011.92
South Salmara,1 3,2445,1256.42,1058,1751.77,0,0,20,47.72,3523,3055.91
Tamulpur,2 1,5913,4400.99,3924,4561.51,0,0,1254,510.41,11091,9472.91
Tinsukia,1 49,46088,40583.40,25306,20139.18,140,1502.32,6254,26999.52,77788,89224.42
Udalguri,5 1,30235,23192.44,16180,12838.16,221,60.90,1896,1272.40,48532,37363.90
West Karbi Anglong,2 2,10324,5014.67,3899,5527.64,1,0,41,54.61,14265,10596.92
