District,Lead Bank Name,Mar-23,Jun-23,Sep-23
Baksa,SBI,08.06.2023,14.08.2023,18.12.2023
Barpeta,UCO,14.06.2023,,24.01.2024
Biswanath,UCO,17.08.2023,17.08.2023,
Bongaigaon,SBI,03.08.2023,03.08.2023,28.12.2023
Cachar,PNB,20.05.2023,24.08.2023,12.12.2023
Charaideo,PNB,16.06.2023,04.08.2023,
Chirang,SBI,16.06.2023,11.08.2023,28.12.2023
Darrang,UCO,21.06.2023,18.12.2023,18.12.2023
Dhemaji,PNB,07.07.2023,09.10.2023,19.01.2024
Dhubri,UCO,08.08.2023,08.08.2023,08.01.2024
Dibrugarh,PNB,23.06.2023,11.08.2023,27.12.2023
Dima Hasao,SBI,12.06.2023,14.08.2023,05.10.2023
Goalpara,UCO,28.06.2023,30.08.2023,29.12.2023
Golaghat,PNB,26.05.2023,23.08.2023,07.12.2023
Hailakandi,PNB,27.06.2023,10.10.2023,05.12.2023
Hojai,PNB,26.07.2023,11.09.2023,28.12.2023
Jorhat,PNB,20.05.2023,21.08.2023,
Kamrup Rural,UCO,26.06.2023,29.08.2023,07.12.2023
Kamrup Metro,UCO,27.04.2023,19.10.2023,29.12.2023
Karbi Anglong,SBI,08.06.2023,10.08.2023,
Karimganj,PNB,20.05.2023,30.08.2023,09.01.2024
Kokrajhar,UCO,30.06.2023,05.10.2023,22.12.2023
Lakhimpur,PNB,03.07.2023,10.08.2023,21.11.2023
Majuli,PNB,22.05.2023,24.08.2023,22.11.2023
Morigaon,PNB,28.07.2023,28.07.2023,21.12.2023
Nagaon,PNB,22.06.2023,11.09.2023,29.12.2023
Nalbari,UCO,21.09.2023,21.09.2023,17.11.2023
Sivasagar,PNB,16.06.2023,09.08.2023,
Sonitpur,UCO,17.08.2023,17.08.2023,27.12.2023
South Salmara,UCO,20.09.2023,20.09.2023,20.12.2023
Tinsukia,PNB,28.06.2023,12.09.2023,29.12.2023
Udalguri,SBI,24.05.2023,22.08.2023,08.12.2023
West Karbi Anglong,SBI,08.06.2023,10.08.2023,
