district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bajali,30,302,547.15,"2,290","2,746.06",181,947.78,"1,357","3,533.16"
Baksa,38,259,728.63,"1,380","2,939.00","1,620","3,956.13","8,283","17,474.93"
Barpeta,94,"1,389","1,810.62","6,719","6,366.30",501,"1,956.21","2,738","6,955.75"
Biswanath,58,"1,200","1,453.10","5,438","6,136.08","1,624","1,775.72","9,758","8,927.47"
Bongaigaon,63,"1,192","2,082.34","5,787","8,981.53",740,"3,000.42","5,246","15,728.58"
Cachar,161,"6,073","7,292.50","26,444","24,346.52",764,"2,441.05","4,378","9,657.09"
Charaideo,36,167,322.39,742,981.23,147,436.47,855,"1,837.54"
Chirang,38,665,"1,077.45","2,729","3,484.11","2,643","6,399.28","16,783","30,362.14"
Darrang,70,434,894.83,"2,488","3,203.38",283,963.75,"1,985","4,146.03"
Dhemaji,47,650,"1,192.93","3,432","5,445.70","4,703","10,352.15","25,706","48,591.40"
Dhubri,88,874,"1,566.75","5,408","5,924.50",346,"1,276.01","3,940","5,396.19"
Dibrugarh,181,"2,303","3,764.66","9,926","15,553.20","3,298","7,486.48","13,816","30,284.42"
Dima Hasao,31,100,317.04,592,"1,563.11","1,239","5,484.68","7,331","20,578.35"
Goalpara,72,502,"1,093.44","3,118","4,136.02","2,200","3,701.36","11,379","15,456.08"
Golaghat,121,"2,171","2,769.06","8,931","9,847.06","2,871","4,619.76","13,655","17,694.07"
Hailakandi,47,868,"1,288.03","4,387","4,857.64",154,338.31,957,"1,454.21"
Hojai,59,"1,280","2,121.74","6,652","7,569.41",538,"1,936.47","3,032","6,376.00"
Jorhat,134,"1,859","3,086.41","10,380","13,008.40","1,861","3,653.12","14,892","19,870.81"
Kamrup,176,"2,449","3,594.92","13,485","12,811.56","2,395","5,083.18","14,196","20,716.25"
Kamrup Metro,445,"2,674","10,785.34","18,334","44,557.51","3,448","15,245.43","23,630","78,301.76"
Karbi Anglong,66,183,732.26,"1,436","3,652.77","3,076","11,007.80","22,319","53,871.98"
Karimganj,92,"2,696","2,976.30","13,035","9,943.37",225,425.80,"1,319","1,660.99"
Kokrajhar,55,697,"1,423.76","2,901","5,145.38","4,043","15,910.73","26,807","71,340.10"
Lakhimpur,92,"1,650","2,784.14","8,700","11,070.53","4,729","8,766.42","26,874","44,693.25"
Majuli,16,243,507.07,"1,615","2,505.72",736,"1,755.10","4,909","9,942.75"
Morigaon,67,"1,250","1,622.54","7,168","6,946.78","2,793","3,528.02","13,013","13,090.48"
Nagaon,154,"2,613","3,493.07","14,668","13,456.29","1,649","3,492.87","9,816","13,814.14"
Nalbari,86,700,"1,175.46","4,711","4,994.41",384,"1,129.64","3,135","5,777.66"
Sivasagar,97,"1,085","2,036.93","6,191","9,168.01",894,"2,214.56","4,957","9,655.33"
Sonitpur,128,"1,676","2,820.89","8,337","11,788.09","1,929","5,287.33","10,523","17,729.81"
South Salmara,13,5,44.57,102,289.19,8,59.42,110,330.60
Tamulpur,21,217,598.05,"1,357","2,091.21",705,"2,210.71","5,110","10,535.82"
Tinsukia,149,993,"1,526.46","4,647","7,601.39","1,862","6,209.20","9,340","20,275.52"
Udalguri,51,355,766.21,"2,477","3,431.66","4,017","8,510.46","30,545","44,864.78"
West Karbi Anglong,22,87,174.61,349,741.02,"1,043","2,705.00","5,404","12,247.83"
