District,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bajali,30,816,"7,098.08",755,"4,030.94",430,"4,839.16",4,31.81,0,0,4,31.81
Baksa,38,622,"6,079.37",407,"3,222.53",380,"4,023.24",5,50.01,0,0,5,50.01
Barpeta,94,"2,371","23,245.57","1,755","14,569.96",82,401.04,9,131.76,0,0,15,141.70
Biswanath,58,"1,327","10,087.23",951,"6,235.46",489,"5,572.37",4,54.44,0,0,6,73.35
Bongaigaon,63,"4,375","16,828.67","2,309","22,938.33",748,"8,378.32",24,276.93,0,0,27,414.76
Cachar,161,"6,140","29,490.95","2,872","26,829.70",765,"7,960.21",81,799.45,1,1,92,880.56
Charaideo,36,408,"3,262.99",356,"2,725.62",164,"1,477.00",1,10.13,0,0,1,10.13
Chirang,38,588,"5,541.27",663,"4,395.83",627,"8,167.66",9,107.20,0,0,9,107.20
Darrang,70,"1,544","14,408.32","1,702","13,010.85",615,"6,207.83",14,172.94,0,0,14,172.94
Dhemaji,47,"1,606","14,110.73","1,746","7,996.46",321,"3,726.23",35,310.67,0,0,44,383.27
Dhubri,88,"1,890","16,064.86","1,766","9,716.66",386,"4,020.96",43,489.30,0,0,46,521.00
Dibrugarh,181,"7,172","42,089.24","5,166","55,962.43",634,"5,216.19",66,722.55,1,13.5,77,792.78
Dima Hasao,31,417,"3,758.91",164,"1,134.32",543,"6,417.11",378,"6,510.10",0,0,379,"6,516.09"
Goalpara,72,"1,140","10,256.04","1,005","4,952.42",633,"7,528.87",4,40.51,0,0,8,51.84
Golaghat,121,"4,908","19,270.12","2,753","20,683.82",396,"5,246.27",21,182.84,0,0,22,188.14
Hailakandi,47,942,"6,882.60",639,"3,224.37",628,"7,343.24",19,160.43,0,0,23,190.22
Hojai,59,932,"7,880.29",741,"5,102.13",33,242.94,14,131.91,0,0,17,161.18
Jorhat,134,"9,783","43,954.28","6,973","60,630.20",693,"7,841.30",43,486.94,1,10.56,63,803.08
Kamrup Metro,176,"6,131","35,323.15","3,871","43,834.60","1,977","23,142.79",36,419.69,0,0,82,929.63
Karbi Anglong,66,"2,098","21,353.65",801,"5,514.14",990,"9,729.01",1,10.13,0,0,1,10.13
Karimganj,92,"1,139","6,532.79",546,"5,242.51",325,"3,176.12",22,212.48,0,0,22,212.48
Kokrajhar,55,"1,055","10,702.67","1,277","13,470.32",442,"6,230.47",4,31.25,0,0,5,31.41
Lakhimpur,92,"3,346","26,915.98","2,395","19,465.34",159,980.07,41,415.26,0,0,41,415.26
Majuli,16,332,"2,357.99",145,510.60,509,"5,814.56",9,97.06,0,0,9,97.06
Morigaon,67,"1,636","11,839.67",686,"6,475.54",739,"4,510.09",44,465.68,0,0,47,475.68
Nagaon,154,"9,478","36,341.76","3,249","24,514.48",916,"10,038.08",73,730.37,0,0,80,805.56
Nalbari,86,"2,445","22,339.39","2,717","19,448.73","2,256","27,156.09",16,225.68,0,0,22,244.56
Sivasagar,97,"8,222","23,853.49","2,869","24,189.61",305,"3,059.43",19,295.97,0,0,33,477.65
Sonitpur,128,"6,387","33,381.24","4,533","47,158.48",365,"3,146.86",37,285.84,2,3.29,58,517.67
South Salmara,13,275,"2,693.02",274,374.27,877,"11,212.36",7,56.72,0,0,7,56.72
Tamulpur,21,361,"3,375.14",244,788.72,162,"1,514.59",0,0,0,0,0,0
Tinsukia,149,"5,690","26,024.13","2,929","31,748.35",547,"6,453.45",48,429.57,1,14,52,460.23
Udalguri,51,"1,700","16,193.90","1,888","3,424.89",77,876.38,3,19.71,0,0,3,19.71
West Karbi Anglong,22,554,"5,789.61",83,119.47,862,"9,415.70",2,21.6,0,0,2,21.6
