District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt
Bajali,30,976,814.52,182,230.90,2,2.48,30,50.20,33,11.65,1223,1109.75
Baksa,38,2086,1870.48,27,59.59,0,,385,506.43,35,15.36,2533,2451.86
Barpeta,94,5683,6020.95,927,954.25,20,18.58,164,266.45,64,33.95,6858,7294.18
Biswanath,58,3361,2363.91,40,127.66,3,11.20,57,75.02,90,29.24,3551,2607.03
Bongaigaon,63,1951,2060.07,120,1928.11,2,155.20,208,267.17,103,28.49,2384,4439.04
Cachar,161,4469,6620.48,567,2108.22,6,116.77,173,238.61,61,50.35,5276,9134.43
Charaideo,36,1186,1303.05,8,261.72,0,0,60,120.55,0,0.00,1254,1685.32
Chirang,38,2322,2006.36,10,40.09,0,,694,770.64,44,16.35,3070,2833.44
Darrang,70,3855,4215.77,285,1147.87,4,10.57,246,364.69,119,79.63,4509,5818.53
Dhemaji,47,3318,2556.69,47,752.46,0,,112,178.01,45,39.47,3522,3526.63
Dhubri,88,4659,3270.65,290,254.17,11,16.49,296,379.46,38,20.28,5294,3941.05
Dibrugarh,181,5773,9225.95,1065,5675.43,13,348.59,216,377.01,53,43.56,7120,15670.54
Dima Hasao,31,314,247.55,7,18.90,0,,15,41.65,8,10.00,344,318.10
Goalpara,72,4540,3816.33,72,319.05,0,0,255,346.85,25,11.08,4892,4493.31
Golaghat,121,3357,4165.49,149,1062.66,4,9.68,100,165.86,173,80.90,3783,5484.59
Hailakandi,47,1407,1452.87,313,694.69,4,3.14,196,333.82,45,28.89,1965,2513.41
Hojai,59,2250,1664.17,133,436.83,0,0,10,14.90,12,2.32,2405,2118.22
Jorhat,134,3453,5627.89,350,3922.09,6,700.46,103,148.63,157,154.88,4069,10553.95
Kamrup Metro,176,8781,7575.98,395,560.03,4,32.03,459,811.73,173,83.79,9812,9063.56
Karbi Anglong,66,987,807.28,2,7.46,0,,99,27.22,2,2.15,1090,844.11
Karimganj,92,2036,2531.17,162,641.45,2,100.36,106,182.15,82,65.13,2388,3520.26
Kokrajhar,55,2869,2875.05,187,296.28,0,,737,864.36,5,6.72,3798,4042.41
Lakhimpur,92,6682,5900.15,127,1285.47,7,92.68,102,163.86,448,226.91,7366,7669.07
Majuli,16,485,441.22,6,71.25,0,,16,16.42,18,8.69,525,537.58
Morigaon,67,2947,3278.10,176,458.04,1,35.2,206,324.03,86,34.23,3416,4129.60
Nagaon,154,6621,8167.94,390,1717.95,1,32.00,295,437.68,90,36.00,7397,10391.57
Nalbari,86,4603,4227.37,331,439.75,6,8.33,359,584.23,38,16.15,5337,5275.83
Sivasagar,97,3287,3710.55,154,776.79,0,,109,224.67,110,55.79,3660,4767.80
Sonitpur,128,5694,6154.82,196,1193.97,8,223.42,274,499.96,67,40.80,6239,8112.97
South Salmara,13,873,1035.29,,,0,0,162,277.40,0,0.00,1035,1312.69
Tamulpur,21,1367,966.13,1,3.19,0,0,129,154.46,5,10.11,1502,1133.89
Tinsukia,149,3862,5312.92,1091,2010.98,6,136.73,237,340.68,70,52.12,5266,7853.43
Udalguri,51,4860,5237.57,135,207.81,0,0,519,902.44,42,27.72,5556,6375.54
West Karbi Anglong,22,73,60.40,57,14.29,0,0,0,0,0,0.00,130,74.69
