District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,30,"3,757","2,909.65","16,074","10,173.09","4,303","2,867",12,12.11,137,175.08,26,26,6,2.12,48,111.96,24,24
Baksa,38,822,341.89,"12,261","7,106.34","5,289","4,347",7,6.21,87,153.51,18,18,6,5.80,26,35.81,14,13
Barpeta,94,"7,980","7,866.60","54,119","35,097.94","19,605","12,269",386,266.53,604,446.58,28,28,123,72.69,196,208.86,25,21
Biswanath,58,"1,092","1,428.94","22,894","16,307.91","8,088","5,654",17,17.64,182,188.80,21,19,4,33.49,32,70.50,4,2
Bongaigaon,63,"2,087","3,566.57","18,759","13,280.01","8,005","6,957",7,6.54,110,65.23,18,11,9,19.62,30,57.54,3,1
Cachar,161,"4,251","3,012.59","52,245","25,576.63","12,701","9,196",39,27.16,170,140.40,19,23,51,76.41,375,430.64,74,67
Charaideo,36,258,313.31,"10,160","6,152.58","4,777","4,368",27,19.98,144,123.79,6,6,4,1.93,20,8.81,3,3
Chirang,38,775,"1,710.33","14,575","10,718.43","5,711","4,705",5,6.44,48,62.18,4,2,1,0.05,11,5.41,1,1
Darrang,70,"8,406","5,135.70","36,767","23,474.96","14,128","10,431",30,26.75,255,226.94,22,18,130,207.47,381,671.89,29,22
Dhemaji,47,"3,290","2,826.87","30,756","20,578.99","9,725","5,712",9,18.01,390,360.36,27,27,7,13.4,80,89.78,19,13
Dhubri,88,"1,843","2,415.73","29,844","17,772.08","8,578","5,970",4,1.36,199,217.49,20,20,32,53.55,58,59.98,1,1
Dibrugarh,181,"9,211","10,537.50","67,731","44,904.58","27,486","16,001",25,15.37,245,248.91,80,68,20,14.58,72,82.03,3,3
Dima Hasao,31,20,76.72,"1,532",555.04,199,140,11,9.00,104,68.84,56,50,0,0,22,9.35,6,6
Goalpara,72,"1,050","2,519.46","25,206","15,297.62","11,717","10,233",6,4.33,190,177.34,13,9,6,10.8,30,25.19,7,7
Golaghat,121,"5,898","5,259.00","61,013","33,592.68","20,112","9,570",34,20.33,226,139.23,16,14,22,31.87,53,28.72,3,3
Hailakandi,47,"1,581",293.82,"16,872","7,739.34","7,049","6,084",30,21.17,78,67.21,21,21,11,1.96,37,28.54,7,6
Hojai,59,"1,780","1,484.02","22,743","12,925.99","6,132","3,795",26,10.13,99,50.90,9,1,8,3.64,50,28.67,1,1
Jorhat,134,"5,033","3,402.53","45,409","21,238.36","17,888","7,815",66,73.17,174,152.86,58,23,25,22.02,80,57.75,7,6
Kamrup Metro,176,"9,782","8,084.40","66,066","41,981.22","27,999","18,601",112,67.13,267,247.67,47,46,61,159.57,117,323.88,19,18
Karbi Anglong,66,"1,359","1,412.10","31,048","17,308.34","4,048","3,066",17,14.90,179,147.83,5,5,23,27.96,90,88.17,5,1
Karimganj,92,646,429.07,"22,209","11,316.59","3,673","2,580",13,19.84,59,72.40,15,13,23,15.14,142,233.77,29,29
Kokrajhar,55,"1,546","3,020.22","24,898","20,327.57","11,388","9,790",5,4.68,140,142.26,1,1,91,62.29,66,91.54,8,8
Lakhimpur,92,"6,286","5,860.50","65,836","39,721.96","19,612","14,095",45,45.20,220,178.14,18,17,51,106.32,111,201.02,3,3
Majuli,16,118,78.64,"5,643","2,684.19","2,059","1,415",1,-,21,15.05,-,-,15,5.03,85,23.05,9,-
Morigaon,67,"3,613","2,381.49","39,981","23,046.45","14,324","11,196",129,108.33,436,464.77,172,170,190,278.42,358,647.50,88,88
Nagaon,154,"11,731","11,039.50","88,475","47,748.30","26,382","17,285",249,155.85,431,324.34,172,160,548,"1,411.70",769,"1,385.08",150,136
Nalbari,86,"6,268","4,608.88","42,832","20,685.34","11,088","8,634",49,19.37,620,447.57,126,88,44,8.30,112,73.41,25,21
Sivasagar,97,"3,197","2,618.64","29,228","13,888.03","9,607","5,667",69,64.07,364,285.27,29,12,20,12.17,190,135.27,102,7
Sonitpur,128,"6,703","4,667.14","34,781","22,008.33","12,870","9,353",87,72.22,338,422.86,114,77,52,55.27,98,142.01,12,8
South Salmara,13,61,27.94,"2,055",786.76,468,443,-,-,8,10.80,-,-,12,17.18,29,30.20,2,-
Tamulpur,21,99,247.08,"5,462","3,774.70","1,721","1,276",1,0.9,9,8.88,0,0,0,0,6,4.97,1,1
Tinsukia,149,"7,376","6,923.51","48,878","34,067.49","18,643","13,505",175,99.41,371,473.76,84,83,54,76.99,107,144.01,3,3
Udalguri,51,835,"1,400.60","30,279","20,370.85","13,958","12,535",3,2.12,102,111.79,7,7,86,14.42,24,59.08,1,1
West Karbi Anglong,22,533,173.37,"10,353","4,810.03",798,305,0,0,13,7.33,0,0,-,0,8,1.51,0,0
