District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Total NPS O/S No.,Total NPS O/S Amt,Total Non Prio Sec NPA No.,Total Non Prio Sec NPA Amt,NPS NPA Pct
Bajali,30,5,1.97,1,41.07,832,5386.73,2812,4652.41,15326,45910.96,18976,55993.14,1082,651.39,1.16
Baksa,38,13,42.83,5,71.69,402,3175.87,1911,3986.17,8452,28685.61,10783,35962.17,1126,852.41,2.37
Barpeta,94,31,11.45,14,342.81,1807,14806.45,11334,18477.03,47635,136833.75,60821,170471.49,5657,4112.23,2.41
Biswanath,58,6,94.15,5,174.82,954,6283.75,4055,5580.27,17257,43746.61,22277,55879.60,1951,1022.37,1.83
Bongaigaon,63,21,26.44,9,207.06,2362,24447.35,9996,18484.97,36826,123367.91,49214,166533.73,3458,2088.66,1.25
Cachar,161,25,307.87,21,418.57,3033,29485.26,21291,28741.09,95458,233838.44,119828,292791.23,12496,7637.54,2.61
Charaideo,36,2,0.40,3,75.85,359,2744.81,1958,2978.50,9390,31429.35,11712,37228.91,800,469.88,1.26
Chirang,38,298,1051.86,3,73.51,665,4440.77,2588,3752.71,11417,38299.15,14971,47618.00,1504,621.87,1.31
Darrang,70,8,28.94,5,115.87,1908,13840.26,7771,11519.84,31097,82310.21,40789,107815.12,3650,2572.46,2.39
Dhemaji,47,2,1.84,4,71.70,1753,8099.60,5625,12904.92,22545,78065.90,29929,99143.96,1216,994.97,1.00
Dhubri,88,224,804.26,4,77.44,1766,9722.15,9924,10926.50,40043,106009.93,51961,127540.28,7730,4568.34,3.58
Dibrugarh,181,173,248.89,35,936.07,5264,57886.80,23635,54486.42,93669,293815.08,122776,407373.26,5748,3947.57,0.97
Dima Hasao,31,0,0.00,2,63.85,172,1513.00,3269,10492.64,8575,30931.31,12018,43000.80,541,441.17,1.03
Goalpara,72,4,5.10,2,52.63,1007,4954.22,6203,8629.55,27451,85504.04,34667,99145.54,2958,2083.60,2.10
Golaghat,121,25,389.58,13,325.92,2930,23380.73,9144,18082.33,50445,164094.28,62557,206272.84,3567,1935.74,0.94
Hailakandi,47,404,1097.23,1,22.18,706,3453.66,3883,6006.39,15478,44312.76,20472,54892.22,2651,1297.08,2.36
Hojai,59,15,12.64,3,57.14,748,5305.71,7001,10094.05,25930,65308.28,33697,80777.82,2760,1489.94,1.84
Jorhat,134,29,1282.60,47,1280.33,7312,62642.66,16011,32685.08,77316,211450.93,100715,309341.60,5296,4493.12,1.45
Kamrup Metro,176,91,200.22,17,447.80,4383,44725.30,17446,28482.51,75189,223197.31,97126,297053.14,9662,6638.58,2.23
Karbi Anglong,66,12,84.11,4,74.77,803,5539.01,6938,23301.10,22606,79757.23,30363,108756.22,1157,1328.72,1.22
Karimganj,92,1,0.59,9,140.71,552,5343.44,8143,11492.89,28187,69525.07,36892,86502.70,5093,3268.90,3.78
Kokrajhar,55,753,2744.31,10,212.25,1287,13799.42,5822,11339.61,30556,102143.79,38428,130239.38,2052,1472.49,1.13
Lakhimpur,92,4,3.89,9,192.22,2410,19697.77,10290,23218.99,44001,131723.08,56714,174835.95,3664,2326.36,1.33
Majuli,16,2,22.20,1,26.43,154,638.52,1884,5805.52,3503,14156.49,5544,20649.16,193,153.55,0.74
Morigaon,67,91,124.98,8,221.01,712,6641.71,5857,14772.39,21546,52812.87,28214,74572.96,3049,1960.19,2.63
Nagaon,154,59,92.44,19,368.71,3492,25579.13,14386,26744.58,77182,223491.88,95138,276276.74,10063,5823.65,2.11
Nalbari,86,10,24.98,5,143.63,3100,21943.54,8610,20709.40,36284,103394.26,48009,146215.81,4681,3527.07,2.41
Sivasagar,97,13,658.43,14,354.46,3184,25447.67,12169,25343.18,63953,176283.74,79333,228087.48,4374,2676.00,1.17
Sonitpur,128,45,99.22,28,785.60,4651,49196.20,15679,28141.62,64170,194025.99,84573,272248.63,5100,3396.33,1.25
South Salmara,13,0,0.00,0,0.00,274,374.27,1082,990.99,2673,9754.51,4029,11119.77,268,238.64,2.15
Tamulpur,21,1,3.65,0,0.00,249,907.65,1122,1490.06,4794,16426.09,6166,18827.45,696,408.20,2.17
Tinsukia,149,36,729.26,22,490.80,3002,33541.52,14472,28967.88,58054,176081.55,75586,239811.01,3884,3291.73,1.37
Udalguri,51,31,126.51,5,71.81,1888,3424.79,3553,3914.78,17834,62477.70,23311,70015.59,2351,1316.55,1.88
West Karbi Anglong,22,0,0.00,0,0.00,83,119.47,1194,4173.07,3607,13106.57,4884,17399.11,275,299.22,1.72
