District,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHIST S No.,BUDDHIST S Amt,SIKHS No.,SIKHS Amt,ZORASTRIAN S No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bajali,30,7,31.61,"2,318","2,887.92",-,0,-,0,0,0,1,0.2,"2,326","2,919.73"
Baksa,38,20,42.17,950,"1,146.38",-,0,-,-,0,0,-,-,970,"1,188.55"
Barpeta,94,49,171.19,"23,086","34,308.88",14,9.69,2,8.90,0,0,5,104.97,"23,156","34,603.63"
Biswanath,58,106,171.78,"2,039","2,771.68",7,8.14,5,11.42,0,0,1,1.20,"2,158","2,964.22"
Bongaigaon,63,204,581.13,"7,066","13,517.37",42,53.6,33,135.03,26,11.59,12,31.15,"7,383","14,329.87"
Cachar,161,516,"1,573.17","14,276","29,614.07",17,42.05,18,37.74,1,0.6,4,9.78,"14,832","31,277.41"
Charaideo,36,51,55.70,489,897.02,26,51.44,10,57.37,0,0,0,0,576,"1,061.53"
Chirang,38,299,422.07,"2,339","3,405.08",3,2.85,2,6.74,0,0,-,-,"2,643","3,836.74"
Darrang,70,115,172.93,"14,027","17,393.00",5,6.23,2,3.5,0,0,9,130.22,"14,158","17,705.88"
Dhemaji,47,34,99.94,237,477.46,10,70.66,5,39.1,0,0,1,2.00,287,689.16
Dhubri,88,111,245.77,"16,270","25,349.01",4,7.53,2,22,0,0,8,125.65,"16,395","25,749.96"
Dibrugarh,181,256,601.21,"3,286","7,714.67",55,212.19,59,234.52,5,5.18,28,223.09,"3,689","8,990.86"
Dima Hasao,31,676,"2,405.06",112,360.97,-,0,-,-,0,0,0,0,788,"2,766.03"
Goalpara,72,923,819.08,"9,758","15,885.12",6,7.56,3,3.90,1,131.04,6,74.71,"10,697","16,921.41"
Golaghat,121,446,418.01,"3,646","4,907.18",237,180,17,73.01,3,0.79,12,231.1,"4,361","5,810.09"
Hailakandi,47,37,111.15,"4,465","9,416.50",1,0.5,-,-,0,0,1,4.10,"4,504","9,532.25"
Hojai,59,58,255.81,"3,904","7,761.47",11,26.06,12,71.64,0,0,2,12.80,"3,987","8,127.78"
Jorhat,134,268,623.06,"2,196","6,006.65",112,206.76,30,578.48,0,0,21,634.02,"2,627","8,048.97"
Kamrup Metro,176,185,384.74,"15,926","23,261.74",61,78,12,72.24,0,0,28,635.28,"16,212","24,432.00"
Karbi Anglong,66,880,"1,538.73",554,816.06,15,22.26,4,152.85,0,0,3,178.35,"1,456","2,708.25"
Karimganj,92,138,244.45,"5,262","12,675.85",2,15.1,-,-,1,7,4,165.9,"5,407","13,108.30"
Kokrajhar,55,"1,501","1,880.27","4,894","6,499.75",2,1.27,4,5.59,0,0,2,38.76,"6,403","8,425.64"
Lakhimpur,92,291,514.17,"5,938","8,209.18",4,12.8,7,5.56,14,8.57,3,5.98,"6,257","8,756.26"
Majuli,16,1,1.83,9,36.13,-,0,-,-,0,0,-,-,10,37.96
Morigaon,67,20,97.23,"6,428","8,364.25",5,2.9,3,16.50,1,0.15,1,4.95,"6,458","8,485.98"
Nagaon,154,251,355.76,"28,342","39,031.30",16,13.02,44,200.63,4,2.25,8,88.18,"28,665","39,691.14"
Nalbari,86,14,49.86,"6,271","11,310.64",10,8.71,10,2.76,0,0,14,667.74,"6,319","12,039.71"
Sivasagar,97,127,208.52,"7,225","11,771.81",116,237.68,16,45.48,1,3.29,17,15.58,"7,502","12,282.36"
Sonitpur,128,423,"1,059.36","9,098","12,298.24",51,1419.14,18,173.42,0,0,8,30.24,"9,598","14,980.40"
South Salmara,13,2,7.87,864,"2,136.31",-,0,2,19.50,0,0,-,-,868,"2,163.68"
Tamulpur,21,10,42.87,313,629.18,0,0,2,1,0,0,1,2,326,675.05
Tinsukia,149,288,"1,060.35","1,806","3,214.42",124,2080.15,47,102.82,0,0,22,253.05,"2,287","6,710.79"
Udalguri,51,683,"1,666.51","2,173","3,056.69",2,0.29,1,1.98,1,0.24,1,2.00,"2,861","4,727.71"
West Karbi Anglong,22,108,325.68,6,33.70,-,0,3,4.61,0,0,0,0,117,363.99
