District,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Bajali,30,161016,98258,61
Baksa,38,95801,74875,78
Barpeta,95,416318,332888,80
Biswanath,58,222186,139895,63
Bongaigaon,63,391881,272701,70
Cachar,164,1107906,540177,49
Charaideo,36,142952,73714,52
Chirang,38,173909,101378,58
Darrang,70,297719,219230,74
Dhemaji,48,200614,180369,90
Dhubri,89,379660,242690,64
Dibrugarh,183,1357554,733114,54
Dima Hasao,32,166005,56468,34
Goalpara,72,285726,190722,67
Golaghat,122,468439,381063,81
Hailakandi,47,212875,110695,52
Hojai,60,341573,164395,48
Jorhat,135,876204,595620,68
Kamrup Metro,178,768612,538878,70
Karbi Anglong,67,213114,186190,87
Karimganj,93,482322,178787,37
Kokrajhar,56,400415,205952,51
Lakhimpur,93,358249,337441,94
Majuli,16,53031,39771,75
Morigaon,67,212545,165399,78
Nagaon,156,711136,537335,76
Nalbari,87,375945,266850,71
Sivasagar,98,582683,390996,67
Sonitpur,129,700275,496215,71
South Salmara,14,33484,21974,66
Tamulpur,21,54803,37756,69
Tinsukia,150,884137,517288,59
Udalguri,51,193806,144920,75
West Karbi Anglong,22,35350,35215,100
