District,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Bajali,30,3,69.00,2,7.88,0,0.00,5,76.88,9,125.09,1,1.40,1.12
Baksa,38,0,0.00,0,0.00,0,0.00,0,0.00,6,73.07,2,12.74,17.44
Barpeta,94,14,228.61,5,108.34,1,6.46,20,343.41,54,787.88,7,108.41,13.76
Biswanath,58,6,35.47,2,27.00,0,0.00,8,62.47,13,118.40,3,11.34,9.58
Bongaigaon,63,4,103.85,6,78.00,4,67.00,14,248.85,65,650.60,10,82.42,12.67
Cachar,161,19,237.02,2,59.19,0,0.00,21,296.21,67,1063.51,3,33.31,3.13
Charaideo,36,2,30.00,0,0.00,0,0.00,2,30.00,10,182.49,0,0.00,0.00
Chirang,38,1,40.00,1,15.00,2,10.50,4,65.50,23,282.30,0,0.01,0.00
Darrang,70,1,23.68,0,0.00,0,0.00,1,23.68,34,510.32,11,120.27,23.57
Dhemaji,47,1,33.25,0,0.00,1,0.00,2,33.25,11,153.57,0,0.06,0.04
Dhubri,88,11,172.38,4,71.17,0,0.00,15,243.55,30,538.05,1,29.50,5.48
Dibrugarh,181,29,483.81,5,72.38,7,114.77,41,670.96,175,2644.76,19,238.86,9.03
Dima Hasao,31,1,25.00,2,20.00,1,10.00,4,55.00,7,75.10,1,15.37,20.47
Goalpara,72,9,109.75,4,65.70,0,0.00,13,175.45,35,313.55,11,65.49,20.89
Golaghat,121,9,197.09,0,0.00,1,12.00,10,209.09,59,874.48,1,0.09,0.01
Hailakandi,47,1,10.00,1,20.00,0,0.00,2,30.00,9,208.03,2,21.74,10.45
Hojai,59,5,138.11,0,0.00,0,0.00,5,138.11,63,665.88,24,88.24,13.25
Jorhat,134,28,934.82,1,20.00,0,0.00,29,954.82,103,1651.47,8,70.86,4.29
Kamrup Metro,176,38,326.09,6,108.35,3,50.50,47,484.94,107,1187.34,7,154.60,13.02
Karbi Anglong,66,8,35.04,4,32.00,9,160.50,21,227.54,38,564.77,5,27.58,4.88
Karimganj,92,4,60.00,0,0.00,0,0.00,4,60.00,25,515.01,6,68.81,13.36
Kokrajhar,55,79,162.22,1,20.00,2,17.01,82,199.23,19,407.03,3,18.82,4.62
Lakhimpur,92,5,70.79,4,115.86,8,150.86,17,337.51,40,575.50,7,57.17,9.93
Majuli,16,2,18.97,0,0.00,1,17.51,3,36.48,14,123.36,1,3.36,2.72
Morigaon,67,47,90.09,2,24.90,3,48.15,52,163.14,46,468.95,12,86.09,18.36
Nagaon,154,16,235.33,3,61.46,1,28.00,20,324.79,92,1132.30,19,155.57,13.74
Nalbari,86,50,270.02,2,15.51,4,12.00,56,297.53,47,724.23,7,58.35,8.06
Sivasagar,97,58,275.06,1,11.00,0,0.00,59,286.06,57,700.34,6,58.07,8.29
Sonitpur,128,26,313.94,1,3.87,2,14.60,29,332.41,136,1875.39,14,106.07,5.66
South Salmara,13,1,0.00,0,0.00,0,0.00,1,0.00,2,73.44,0,0.00,0.00
Tamulpur,21,0,0.00,0,0.00,1,12.00,1,12.00,4,102.08,0,0.00,0.00
Tinsukia,149,29,519.04,5,74.15,3,109.98,37,703.17,120,2289.73,6,49.30,2.15
Udalguri,51,60,49.17,1,6.05,2,44.99,63,100.21,15,270.44,2,24.57,9.09
West Karbi Anglong,22,0,0.00,1,28.73,1,20.00,2,48.73,7,73.89,1,11.34,15.35
