district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisatio n No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,30,194,295.81,2,1.04,545,540.08,"6,242","2,388.07",117,150.62,95,158.52,0,0,0,0,"1,665","1,704.76","8,860","5,238.90"
Baksa,38,"1,212",839.83,4,3.64,185,247.56,300,118.86,40,59.29,27,47.17,0,0,0,0,"1,543","3,369.47","3,311","4,685.82"
Barpeta,94,"3,335","2,129.81",1,1.29,866,"1,049.46","8,734","2,759.66",201,285.40,165,216.58,1,6.14,0,0,"4,371","8,380.05","17,674","14,828.39"
Biswanath,58,"1,428",982.62,2,30.63,47,54.01,334,141.78,96,85.64,12,20.42,0,0,0,0,"1,994","3,894.87","3,913","5,209.97"
Bongaigaon,63,447,211.52,1,1.23,994,888.92,"4,788",995.89,175,200.30,14,13.97,2,112.44,0,0,"2,103","2,925.03","8,524","5,349.30"
Cachar,161,"3,939","2,058.82",5,4.38,"1,200","1,692.99","4,119",867.86,454,"1,284.22",328,570.05,9,478.99,4,8.56,"5,015","6,744.43","15,073","13,710.30"
Charaideo,36,249,213.67,1,2.33,68,84.83,25,21.58,128,151.26,5,11.00,1,0.65,0,0,631,866.67,"1,108","1,351.99"
Chirang,38,"5,155","3,447.71",4,1.34,197,195.72,15,14.02,58,72.12,22,14.38,0,0,0,0,"1,497","2,631.83","6,948","6,377.12"
Darrang,70,"3,535","2,288.45",16,11.00,839,"1,400.73","4,614","1,855.71",158,228.24,233,565.15,1,22.5,1,13.3,"3,247","5,091.67","12,644","11,476.75"
Dhemaji,47,830,546.26,1,0.28,101,168.79,"2,355",984.99,211,218.59,22,52.69,0,0,0,0,"2,467","4,038.72","5,987","6,010.32"
Dhubri,88,931,722.13,10,6.69,221,225.89,"2,214",396.92,127,127.12,18,22.14,0,0,7,8.04,"2,217","3,363.70","5,745","4,872.63"
Dibrugarh,181,"9,213","5,602.48",0,0,710,849.44,"5,328","1,416.17",369,445.51,78,128.50,2,3.08,21,41.82,"5,146","15,489.34","20,867","23,976.34"
Dima Hasao,31,102,58.57,0,0,16,9.76,6,10.05,143,79.13,8,4.50,0,0,0,0,159,213.84,434,375.85
Goalpara,72,"3,683","1,766.80",25,14.45,239,246.14,964,176.42,259,239.94,42,44.90,6,0.95,0,0,"2,534","5,189.26","7,752","7,678.86"
Golaghat,121,"3,807","1,706.42",3,1.22,584,335.15,"7,042","1,771.30",123,288.23,38,44.80,3,449.4,0,0,"4,506","8,779.45","16,106","13,375.97"
Hailakandi,47,829,476.33,0,0,501,638.64,23,29.47,215,364.34,33,43.08,0,0,1,0.52,"1,589","2,533.60","3,191","4,085.98"
Hojai,59,"1,074",438.02,0,0,785,919.35,"1,643",443.82,112,123.59,178,190.63,0,0,0,0,"1,884","2,691.50","5,676","4,806.91"
Jorhat,134,"3,122","1,584.37",8,12.32,"1,093","1,197.49","1,917",687.24,181,341.69,64,70.22,1,0.33,2,4.68,"3,408","9,050.04","9,796","12,948.38"
Kamrup,176,"12,722","7,818.47",6,3.42,"1,047","1,050.56","3,220","1,335.70",729,"1,329.41",239,334.16,2,0.95,4,5.42,"6,853","12,918.39","24,822","24,796.48"
Kamrup Metro,445,975,"1,256.67",0,0,"5,751","3,037.80","7,170","2,657.36","1,335","1,847.20","2,799","1,052.23",14,558.05,7,59.03,"8,852","34,915.60","26,903","45,383.94"
Karbi Anglong,66,"2,590",829.30,0,0,362,210.95,"1,120",263.24,46,71.97,38,42.41,0,0,0,0,749,"2,423.69","4,905","3,841.56"
Karimganj,92,"1,230",809.44,4,1.76,489,722.88,410,160.81,94,160.20,273,569.94,0,0,0,0,"1,569","2,440.26","4,069","4,865.29"
Kokrajhar,55,514,334.30,0,0,542,495.58,925,125.09,225,279.82,39,146.35,0,0,1,7.72,"1,362","2,681.80","3,608","4,070.66"
Lakhimpur,92,693,556.26,18,9.51,464,656.48,"9,030","2,198.78",287,613.43,131,205.41,1,2.87,3,2.52,"3,610","4,856.17","14,237","9,101.43"
Majuli,16,37,20.57,0,0,8,17.59,23,34.27,9,19.35,5,4.45,0,0,0,0,122,137.84,204,234.07
Morigaon,67,"1,346","1,143.83",0,0,994,"1,384.87","2,935","1,520.51",269,312.94,298,638.72,1,14.03,1,4.91,"3,874","4,629.17","9,718","9,648.98"
Nagaon,154,"7,660","3,240.70",0,0,"1,911","1,680.60","13,416","4,456.84",274,346.46,134,418.38,0,0,20,22.07,"7,363","6,554.43","30,778","16,719.48"
Nalbari,86,"3,838","1,828.53",15,8.73,818,849.82,"6,416","2,354.92",571,467.25,159,166.36,1,1.49,4,10.02,"3,579","6,574.71","15,401","12,261.83"
Sivasagar,97,"1,116",691.37,16,5.08,"9,416","5,047.62","1,929",676.29,"1,234","1,494.36",81,65.24,0,0,1,4.76,"4,004","6,801.70","17,797","14,786.42"
Sonitpur,128,"5,076","3,999.25",2,1.3,377,511.59,"6,326","2,029.50",480,557.25,79,135.25,0,0,3,15.36,"3,706","7,851.19","16,049","15,100.69"
South Salmara,13,0,0,0,0,1,3.02,1,0.90,2,6.88,-,-,0,0,0,0,45,124.08,49,134.88
Tamulpur,21,858,475.35,0,0,28,49.41,13,12.23,19,27.83,5,19.05,0,0,0,0,450,960.92,"1,373","1,544.79"
Tinsukia,149,"6,635","3,697.74",76,31.21,"1,173","1,896.58","2,950",995.62,421,904.66,78,74.95,0,0,7,71.45,"3,530","15,916.55","14,870","23,588.76"
Udalguri,51,"3,914","2,003.18",2,0.88,116,197.30,30,25.98,201,234.26,63,66.14,1,0.2,2,2.28,"1,495","2,532.27","5,869","5,062.49"
West Karbi Anglong,22,4,5.52,0,0,60,44.36,0,0,1,3.86,6,1.50,0,0,0,0,45,137.10,71,192.34
