District,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,30,"25,978","1,67,824","13,431","84,779","2,62,996","47,270","13,050","1,23,807"
Baksa,38,"48,744","2,14,308","23,278","1,15,311","3,56,569","63,361","19,252","1,83,307"
Barpeta,95,"1,65,176","8,98,100","1,04,103","4,76,058","14,56,061","3,19,223","65,178","7,06,412"
Biswanath,58,"83,077","2,69,707","43,016","1,70,127","4,53,245","94,266","36,451","2,89,655"
Bongaigaon,63,"67,854","3,27,172","38,761","1,97,318","5,27,046","1,18,140","26,924","2,92,096"
Cachar,164,"1,44,887","7,97,077","90,986","3,55,748","12,86,664","2,46,043","53,951","5,54,586"
Charaideo,36,"38,040","1,67,807","10,261","92,250","3,02,396","63,211","20,839","1,51,129"
Chirang,38,"58,148","3,01,233","35,186","1,49,843","4,58,846","92,926","18,253","2,26,244"
Darrang,70,"1,17,201","5,13,882","73,236","2,75,440","8,68,965","1,59,317","40,295","4,32,936"
Dhemaji,48,"1,18,953","3,05,521","76,057","2,52,497","5,87,339","1,82,319","51,280","4,22,730"
Dhubri,89,"1,53,740","7,83,495","90,815","4,25,955","13,25,192","2,63,545","61,187","6,40,882"
Dibrugarh,183,"1,74,182","7,41,136","1,03,521","3,64,569","11,29,885","2,34,900","68,109","6,06,860"
Dima Hasao,32,"16,009","82,465","8,398","38,008","1,21,023","24,389","7,837","61,854"
Goalpara,72,"1,28,914","4,87,006","68,467","3,23,259","8,46,828","2,00,499","42,793","4,94,966"
Golaghat,122,"1,18,869","5,10,400","23,184","2,65,934","7,28,915","1,70,503","54,505","4,39,308"
Hailakandi,47,"54,791","2,95,801","33,867","1,53,897","5,12,370","96,492","23,792","2,32,480"
Hojai,60,"1,07,427","4,45,391","68,255","2,46,896","7,32,587","1,64,356","29,660","3,83,983"
Jorhat,135,"99,578","5,10,239","22,348","2,33,971","7,99,274","1,61,104","44,976","3,78,525"
Kamrup Metro,178,"1,59,332","8,22,435","87,858","4,27,166","12,96,462","2,42,444","62,239","6,48,737"
Karbi Anglong,67,"66,596","1,96,410","38,713","1,43,306","3,02,711","1,00,111","40,915","2,50,817"
Karimganj,93,"72,981","4,18,185","49,219","1,88,923","7,63,774","1,32,424","33,017","2,94,921"
Kokrajhar,56,"1,02,707","4,70,452","55,069","2,66,452","8,18,391","1,56,272","26,640","3,95,799"
Lakhimpur,93,"1,25,773","4,30,302","93,850","3,01,841","7,81,819","2,35,301","51,271","4,78,885"
Majuli,16,"18,551","91,925","3,022","39,230","1,58,296","24,498","10,000","67,781"
Morigaon,67,"69,068","4,13,178","38,584","1,92,402","7,53,927","1,26,018","30,552","2,92,022"
Nagaon,156,"2,13,808","8,04,305","1,50,578","5,78,382","17,28,500","3,78,716","82,171","8,74,361"
Nalbari,87,"90,049","4,44,948","44,406","2,23,367","6,93,113","1,22,086","27,120","3,40,536"
Sivasagar,98,"97,261","4,42,524","17,716","1,88,949","5,83,984","1,15,385","33,116","3,19,326"
Sonitpur,129,"1,66,728","6,92,774","99,137","3,50,875","10,66,198","1,99,860","60,001","5,77,604"
South Salmara,14,"18,507","1,45,037","10,838","63,352","2,44,015","43,576","7,161","89,020"
Tamulpur,21,"41,987","1,93,155","23,531","91,147","3,02,200","57,497","11,981","1,45,115"
Tinsukia,150,"1,35,863","7,60,039","78,998","3,05,991","11,25,756","2,16,458","52,995","4,94,849"
Udalguri,51,"1,28,865","5,58,702","75,045","2,57,328","9,09,160","1,48,258","28,929","4,15,122"
West Karbi Anglong,22,"18,662","71,444","13,919","45,022","1,14,619","35,587","14,819","78,503"
