District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Baksa,59,"99,306","42,936.60","5,941","8,536.89",19.88,"35,153","26,998.00","3,777","3,302.08",12.23,"5,520","5,264.00","1,184","8,578.83",162.97,"12,189","14,999.00","1,220","1,354.66",9.03,"1,17,015","63,199.60","8,345","18,470.38",29.23
Barpeta,124,"84,350","1,19,503.37","24,228","33,200.09",27.78,"66,594","77,545.01","11,190","13,946.79",17.99,"9,320","36,746.62","4,540","41,601.46",113.21,"5,136","25,708.93","5,338","5,897.55",22.94,"98,806","1,81,958.92","34,106","80,699.10",44.35
Biswanath,58,"14,457","29,293.00","9,836","14,852.60",50.70,"9,850","17,945.00","5,001","5,005.07",27.89,"5,173","12,787.00","2,403","14,152.02",110.68,"3,179","8,278.97","2,423","2,451.59",29.61,"22,809","50,358.97","14,662","31,456.21",62.46
Bongaigaon,63,"45,626","69,384.56","12,396","18,319.37",26.40,"30,800","46,475.58","4,810","8,955.89",19.27,"8,141","35,558.90","3,208","35,039.11",98.54,"4,085","16,529.16","6,101","4,381.36",26.51,"57,852","1,21,472.62","21,705","57,739.84",47.53
Cachar,161,"51,906","44,795.04","19,750","28,646.80",63.95,"27,556","26,529.00","6,308","9,124.56",34.39,"14,764","71,519.94","9,144","85,342.71",119.33,"4,535","16,451.51","28,598","19,599.76",119.14,"71,205","1,32,766.49","57,492","1,33,589.27",100.62
Charaideo,36,"28,965","44,327.76","6,724","10,023.56",22.61,"19,084","20,271.75","4,682","3,914.35",19.31,"1,769","8,952.00","1,531","7,568.52",84.55,"1,486","5,643.92",740,622.96,11.04,"32,220","58,923.68","8,995","18,215.04",30.91
Chirang,38,"34,976","39,204.62","6,574","8,955.62",22.84,"22,902","27,892.04","3,213","4,178.65",14.98,"1,369","4,936.00","1,400","8,771.86",177.71,"1,840","3,802.52","2,888","2,273.67",59.79,"38,185","47,943.14","10,862","20,001.15",41.72
Darrang,70,"51,710","43,926.95","21,530","23,269.26",52.97,"32,416","21,732.58","8,726","9,850.20",45.32,"11,010","28,790.17","4,132","27,176.65",94.40,"2,749","8,482.52","3,319","3,860.77",45.51,"65,469","81,199.64","28,981","54,306.68",66.88
Dhemaji,47,"37,924","46,975.18","13,194","15,528.26",33.06,"29,375","33,357.10","6,596","6,277.87",18.82,"2,860","20,524.00","3,041","14,803.75",72.13,"1,680","6,551.10","4,081","3,799.16",57.99,"42,464","74,050.28","20,316","34,131.17",46.09
Dhubri,88,"72,811","74,341.11","12,211","19,385.06",26.08,"20,620","15,816.53","6,056","9,690.31",61.27,"5,302","21,951.07","4,104","31,131.03",141.82,"5,450","12,590.97","11,373","9,568.66",76.00,"83,563","1,08,883.15","27,688","60,084.75",55.18
