district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bajali,30,"1,40,410",42761,"74,975","1,08,095","1,83,070","41,781","7,206","88,586","32,517","80,887"
Baksa,38,"2,92,352",-,"1,08,905","1,83,381","2,92,286","30,575","6,559","1,38,961","67,214","1,23,541"
Barpeta,94,"10,84,050","3,40,949","6,54,735","8,39,272","14,94,007","3,30,691","30,608","8,18,638","3,23,730","5,60,693"
Biswanath,58,"3,70,937","44,512","1,65,701","2,49,711","4,15,412","46,357","15,300","1,92,363","72,078","1,46,600"
Bongaigaon,63,"2,60,418","1,66,932","1,99,535","2,87,505","4,87,040","1,08,185","13,903","3,18,323","1,09,318","1,76,985"
Cachar,161,"8,90,401","2,16,311","4,86,048","6,20,608","11,06,656","1,92,030","36,710","7,20,607","3,05,622","4,21,797"
Charaideo,36,"2,90,034","32,476","1,26,082","1,96,403","3,22,485","39,119","8,845","1,72,401","68,620","1,08,410"
Chirang,38,"3,66,165","15,029","1,47,928","2,33,149","3,81,077","25,012","10,443","2,44,091","1,04,964","1,33,940"
Darrang,70,"7,16,369","2,39,612","4,10,858","5,45,079","9,55,937","1,85,348","18,524","4,76,161","1,86,503","3,44,241"
Dhemaji,47,"5,78,670","1,76,021","3,19,725","4,34,817","7,54,542","86,917","15,669","4,56,951","1,35,976","1,87,921"
Dhubri,88,"14,87,565","3,20,695","7,76,495","10,31,021","18,07,516","3,31,614","31,153","9,00,404","3,27,653","6,90,328"
Dibrugarh,181,"5,03,393","1,84,023","2,71,887","4,19,634","6,91,521","1,13,879","26,061","4,62,641","2,10,336","2,05,340"
Dima Hasao,31,"48,625","16,773","31,980","35,746","67,726","3,482","5,713","37,592","21,713","19,554"
Goalpara,72,"5,82,012","2,42,738","3,39,778","4,85,082","8,24,860","97,169","16,471","4,42,694","1,71,110","3,38,235"
Golaghat,121,"5,60,230","1,79,138","3,06,944","4,46,511","7,53,455","1,19,603","23,122","4,61,558","1,86,012","3,05,048"
Hailakandi,47,"3,79,207","1,68,261","2,43,615","3,14,001","5,57,616","1,14,566","15,035","3,03,404","1,33,926","2,34,120"
Hojai,59,"3,83,317","3,20,112","2,92,265","4,11,071","7,03,336","96,320","17,268","5,61,531","1,99,299","3,07,248"
Jorhat,134,"2,96,345","2,03,436","1,89,942","3,09,773","4,99,715","1,13,198","15,184","3,43,643","1,25,744","1,91,652"
Kamrup,176,"9,48,486","96,779","4,36,831","6,07,607","10,44,438","1,79,622","29,701","6,83,902","3,47,692","3,80,594"
Kamrup Metro,445,"95,612","3,27,687","1,95,938","2,35,060","4,30,998","1,03,937","23,126","3,29,565","1,56,465","1,31,610"
Karbi Anglong,66,"2,16,013","41,783","1,14,906","1,67,006","2,81,912","33,929","10,087","91,187","43,992","77,456"
Karimganj,92,"7,00,199","1,02,088","3,57,786","4,44,245","8,02,031","1,30,254","26,493","5,06,546","2,12,729","3,27,278"
Kokrajhar,55,"5,46,453","90,854","2,85,132","3,83,894","6,69,026","1,32,180","19,075","3,14,874","1,17,265","2,59,241"
Lakhimpur,92,"5,66,412","1,89,404","3,30,118","4,53,453","7,83,571","1,16,218","19,892","5,25,325","1,63,690","2,47,753"
Majuli,16,"1,22,654","30,761","65,573","87,825","1,53,398","23,059","2,808","93,152","38,580","63,665"
Morigaon,67,"7,52,957","1,24,827","3,68,115","5,09,233","8,77,348","2,32,011","12,797","5,84,338","2,28,901","3,59,579"
Nagaon,154,"13,51,386","5,63,339","8,23,051","10,91,507","19,14,558","3,61,288","38,055","10,40,570","3,44,781","8,38,191"
Nalbari,86,"4,21,786","67,300","2,10,930","3,01,775","5,12,705","82,898","16,142","2,14,490","1,01,737","2,23,259"
Sivasagar,97,"2,49,022","87,189","1,41,387","2,08,823","3,50,210","54,003","12,678","2,70,505","1,09,660","1,31,830"
Sonitpur,128,"5,61,815","2,35,343","3,55,739","5,34,440","8,90,179","2,03,522","29,786","4,53,171","1,80,168","3,17,729"
South Salmara,13,"2,52,035","22,700","1,07,092","1,67,588","2,74,680","37,826","3,565","1,05,822","33,286","1,05,172"
Tamulpur,21,"2,50,611",-,"99,794","1,50,693","2,50,487","17,159","7,386","1,65,199","71,313","92,934"
Tinsukia,149,"4,29,471","3,67,975","3,10,034","4,87,200","7,97,234","1,73,901","26,147","5,02,285","1,95,701","2,36,154"
Udalguri,51,"6,25,154","1,10,134","2,98,203","4,36,952","7,35,155","93,808","18,154","3,37,025","1,37,608","2,28,398"
West Karbi Anglong,22,"1,17,195",0,"49,893","67,291","1,17,184","12,877","2,967","38,895","14,433","32,405"
