district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Productio n amt,Dairy no,Dairy Amt,Farm Mech No,Farm Mech Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godow n No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Bajali,30,112,113.21,0,0.00,148,95.56,"2,387","1,339.09",14,7.19,22,14.95,0,0.00,0,0.00,955,"1,234.26","3,638","2,804.26"
Baksa,38,54,31.94,0,0.00,24,27.19,295,89.83,23,18.57,23,30.34,0,0.00,0,0.00,391,"1,157.19",810,"1,355.06"
Barpeta,94,497,418.97,0,0.00,407,446.67,"4,726","2,260.80",95,43.63,81,96.35,0,0.00,0,0.00,"1,753","5,805.15","7,559","9,071.57"
Biswanath,58,66,68.68,0,0.00,9,6.90,259,116.46,31,12.15,4,2.00,0,0.00,0,0.00,635,"1,283.42","1,004","1,489.61"
Bongaigaon,63,40,22.11,0,0.00,462,350.83,"1,035",478.38,109,88.81,6,3.54,0,0.00,0,0.00,795,"1,390.99","2,447","2,334.66"
Cachar,161,290,161.06,0,0.00,467,622.82,"1,848",699.38,192,510.26,101,170.88,1,420.00,0,0.00,"2,390","3,988.63","5,289","6,573.03"
Charaideo,36,50,20.93,0,0.00,47,49.13,1,0,65,109.99,2,7,0,0.00,0,0.00,100,288.39,265,475.44
Chirang,38,90,73.22,0,0.00,3,6.35,1,2.09,39,53.87,1,0,0,0.00,0,0.00,418,"1,077.10",552,"1,212.63"
Darrang,70,288,119.80,0,0.00,349,566.00,"5,122","2,148.56",80,123.87,137,221.31,0,0.00,0,0.00,"1,303","2,578.92","7,279","5,758.46"
Dhemaji,47,77,34.96,0,0.00,35,18.69,"1,984","1,058.17",139,111.90,4,2.56,0,0.00,0,0.00,767,"2,379.58","3,006","3,605.86"
Dhubri,88,21,14.39,0,0.00,48,49.62,662,187.02,49,39.59,12,6.64,1,40.98,0,0.00,"1,213","2,260.58","2,006","2,598.82"
Dibrugarh,181,128,69.39,0,0.00,336,356.19,"3,478","1,512.86",103,83.31,31,28.27,0,0.00,0,0.00,"1,641","13,101.25","5,717","15,151.27"
Dima Hasao,31,16,22.30,0,0.00,1,1.27,2,4.90,0,0,1,1.03,0,0.00,0,0.00,41,82.32,61,111.82
Goalpara,72,117,49.89,0,0.00,65,42.39,57,94.55,123,121.7,4,0.40,0,0.00,0,0.00,485,"1,666.78",851,"1,975.71"
Golaghat,121,321,186.20,0,0.00,157,132.46,"2,874","1,327.46",32,69.12,7,17.16,0,0.00,0,0.00,"2,199","5,311.29","5,590","7,043.69"
