District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Bajali,30,0,0.00,0,0.00,6,10.94,281,139.62,795,500.83,"1,082",651.39
Baksa,38,0,0.00,0,0.00,9,45.67,376,213.16,741,593.58,"1,126",852.41
Barpeta,94,0,0.00,0,0.00,22,48.33,"1,839",840.40,"3,796","3,223.50","5,657","4,112.23"
Biswanath,58,0,0.00,0,0.00,5,10.87,662,242.31,"1,284",769.19,"1,951","1,022.37"
Bongaigaon,63,5,0.82,0,0.00,10,97.02,"1,368",551.27,"2,075","1,439.55","3,458","2,088.66"
Cachar,161,8,283.92,0,0.00,21,257.81,"6,782","2,320.52","5,685","4,775.29","12,496","7,637.54"
Charaideo,36,0,0.00,0,0.00,7,114.25,134,91.57,659,264.06,800,469.88
Chirang,38,5,15.49,0,0.00,1,4,421,151.97,"1,077",450.41,"1,504",621.87
Darrang,70,4,22.35,0,0.00,15,238.58,"1,276",598.32,"2,355","1,713.21","3,650","2,572.46"
Dhemaji,47,0,0.00,0,0.00,4,31.25,275,252.76,937,710.96,"1,216",994.97
Dhubri,88,16,51.50,0,0.00,7,19.45,"3,891","1,498.23","3,816","2,999.16","7,730","4,568.34"
Dibrugarh,181,9,41.39,1,19.67,27,394.07,"1,173",910.58,"4,538","2,581.86","5,748","3,947.57"
Dima Hasao,31,0,0.00,0,0.00,8,55,84,205.24,449,180.93,541,441.17
Goalpara,72,3,5.10,0,0.00,2,19.58,"1,058",430.18,"1,895","1,628.74","2,958","2,083.60"
Golaghat,121,16,63.70,0,0.00,15,112.67,"1,056",439.45,"2,480","1,319.92","3,567","1,935.74"
Hailakandi,47,318,131.06,0,0.00,2,27.42,858,346.91,"1,473",791.69,"2,651","1,297.08"
Hojai,59,12,9.97,0,0.00,4,3.39,971,391.93,"1,773","1,084.65","2,760","1,489.94"
Jorhat,134,9,70.02,1,36.11,25,386.09,"1,153",576.53,"4,108","3,424.37","5,296","4,493.12"
Kamrup Metro,176,1,10.37,0,0.00,17,212.7,"3,516","1,663.84","6,128","4,751.67","9,662","6,638.58"
Karbi Anglong,66,5,27.88,0,0.00,8,36.14,156,307.12,988,957.58,"1,157","1,328.72"
Karimganj,92,0,0.00,0,0.00,6,80.36,"2,629",950.33,"2,458","2,238.21","5,093","3,268.90"
Kokrajhar,55,6,16.25,0,0.00,9,66.11,476,200.44,"1,561","1,189.69","2,052","1,472.49"
Lakhimpur,92,3,0.00,0,0.00,6,53.1,"1,032",494.32,"2,623","1,778.94","3,664","2,326.36"
Majuli,16,0,0.00,0,0.00,1,4,40,37.68,152,111.87,193,153.55
Morigaon,67,0,0.00,0,0.00,3,13.27,898,626.67,"2,148","1,320.25","3,049","1,960.19"
Nagaon,154,1,2.10,1,1.66,17,148.47,"3,443","1,458.29","6,601","4,213.13","10,063","5,823.65"
Nalbari,86,1,14.74,0,0.00,29,201.61,"1,346",842.25,"3,305","2,468.47","4,681","3,527.07"
Sivasagar,97,2,0.00,0,0.00,15,186.98,836,547.66,"3,521","1,941.36","4,374","2,676.00"
Sonitpur,128,0,0.00,0,0.00,17,105.52,"1,748",774.32,"3,335","2,516.49","5,100","3,396.33"
South Salmara,13,0,0.00,0,0.00,0,0,84,82.06,184,156.58,268,238.64
Tamulpur,21,0,0.00,0,0.00,0,0,167,140.84,529,267.36,696,408.20
Tinsukia,149,2,15.74,0,0.00,18,304.88,"1,055",717.91,"2,809","2,253.20","3,884","3,291.73"
Udalguri,51,0,0.00,0,0.00,2,5,527,237.67,"1,822","1,073.88","2,351","1,316.55"
West Karbi Anglong,22,0,0.00,0,0.00,0,0,38,100.52,237,198.70,275,299.22
