District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,30,"3,508","4,292.18",21,15.48,0,0,"2,481","1,447.77",1,3,711,"1,059.24",21,111.12,"1,672","2,818.43",47,37.66,567,601.65,"9,029","10,386.53"
Baksa,38,"3,777","3,302.08",5,2.00,0,0,348,133.86,0,0,258,745.22,18,28.45,"1,284","3,819.72",2,11.13,249,494.43,"5,941","8,536.89"
Barpeta,94,"11,190","13,946.79",313,227.97,0,0,"5,243","2,857.64",43,61.35,553,593.51,141,122.04,"5,563","9,677.37",6,106.26,"1,176","5,607.16","24,228","33,200.09"
Biswanath,58,"5,001","5,005.07",5,3.67,0,0,689,677.74,0,0,"1,051","2,419.07",14,44.43,"2,301","4,185.71",6,48,769,"2,468.91","9,836","14,852.60"
Bongaigaon,63,"4,810","8,955.89",108,84.10,0,0,"1,291",828.44,24,51.78,205,404.32,6,16.78,"4,764","4,647.93",8,136.07,"1,180","3,194.06","12,396","18,319.37"
Cachar,161,"6,308","9,124.56",485,433.7,0,0,3256,2198.84,7,13,348,626.55,186,251.59,"7,760","7,985.17",11,966.97,"1,389","7,046.42","19,750","28,646.80"
Charaideo,36,"4,682","3,914.35",0,0,0,0,68,91.86,0,0,230,533.58,6,8.93,"1,624","3,464.34",0,0,114,"2,010.50","6,724","10,023.56"
Chirang,38,"3,213","4,178.65",-,-,0,0,275,647.92,0,0,110,175.00,3,0.92,"2,142","2,826.38",9,4.35,822,"1,122.40","6,574","8,955.62"
Darrang,70,"8,726","9,850.20",148,135.48,2,3.33,"5,432","2,584.12",9,8.93,352,497.73,190,325.61,"5,784","7,292.63",115,158.09,772,"2,413.14","21,530","23,269.26"
Dhemaji,47,"6,596","6,277.87",-,-,0,0,"2,567","2,193.80",1,0.45,551,"1,560.44",20,21.11,"2,496","4,310.68",1,0.35,962,"1,163.56","13,194","15,528.26"
Dhubri,88,"6,056","9,690.31",216,171.21,0,0,"1,586","2,069.69",1,1.98,309,500.52,41,58.72,"2,729","4,300.75",3,31.34,"1,270","2,560.54","12,211","19,385.06"
Dibrugarh,181,"15,474","15,115.23",247,184.98,4,14.31,4265,2558.52,5,19.27,"1,306","2,938.53",35,35.73,"7,189","9,954.60",92,142.29,"4,176","20,841.98","32,793","51,805.44"
Dima Hasao,31,156,176.29,1,2.50,0,0,2,4.90,2,2.4,108,191.73,0,0,371,739.78,0,0,170,445.60,810,"1,563.20"
Goalpara,72,"7,095","8,764.37",73,54.00,0,0,397,793.21,4,12,415,916.04,10,12.08,"2,730","5,369.86",8,5.65,"1,175","1,523.01","11,907","17,450.22"
