district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bajali,30,"1,400",426.11,"2,579","3,360.25",156,"1,167.56","4,135","4,953.92"
Baksa,38,974,260.63,"1,388","2,052.41",111,685.70,"2,473","2,998.74"
Barpeta,94,"10,253","3,250.61","8,599","10,812.36",460,"3,352.18","19,312","17,415.15"
Biswanath,58,"3,675","1,080.61","3,621","4,224.53",207,"1,465.68","7,503","6,770.82"
Bongaigaon,63,"7,296","2,235.30","4,245","5,555.37",305,"2,106.72","11,846","9,897.39"
Cachar,161,"22,668","6,717.99","21,503","24,818.04",862,"6,075.42","45,033","37,611.45"
Charaideo,36,"2,867",879.46,"2,326","3,021.75",138,970.10,"5,331","4,871.31"
Chirang,38,"3,900","1,186.62","3,001","3,576.16",122,880.83,"7,023","5,643.61"
Darrang,70,"7,837","2,387.64","5,941","7,785.98",442,"3,368.96","14,220","13,542.58"
Dhemaji,47,"3,780","1,074.56","2,559","3,320.50",302,"2,092.10","6,641","6,487.16"
Dhubri,88,"8,642","2,620.40","7,634","9,659.59",298,"2,224.59","16,574","14,504.58"
Dibrugarh,181,"15,071","3,806.66","13,005","15,357.88",797,"5,701.58","28,873","24,866.12"
Dima Hasao,31,936,156.71,546,"1,033.96",61,477.56,"1,543","1,668.23"
Goalpara,72,"6,592","2,024.02","5,272","6,773.42",234,"1,565.97","12,098","10,363.41"
Golaghat,121,"9,828","2,959.90","10,883","12,352.13",495,"3,156.67","21,206","18,468.70"
Hailakandi,47,"3,903","1,244.05","3,692","4,570.96",199,"1,420.06","7,794","7,235.07"
Hojai,59,"4,197","1,103.15","4,721","6,269.70",439,"3,133.71","9,357","10,506.56"
Jorhat,134,"10,358","2,902.52","9,733","11,699.63",536,"3,676.89","20,627","18,279.04"
Kamrup Metro,176,"17,258","6,046.25","17,927","21,357.81",733,"5,163.36","35,918","32,567.42"
Karbi Anglong,66,"2,236",633.17,"2,226","3,437.27",127,964.33,"4,589","5,034.77"
Karimganj,92,"10,163","3,301.99","8,402","9,446.41",425,"2,964.43","18,990","15,712.83"
Kokrajhar,55,"8,509","2,956.49","4,837","5,393.40",268,"1,785.24","13,614","10,135.13"
Lakhimpur,92,"7,507","2,125.15","6,153","7,677.47",627,"4,125.91","14,287","13,928.53"
Majuli,16,879,309.90,184,355.84,37,273.83,"1,100",939.57
Morigaon,67,"3,300","1,042.39","4,517","6,278.13",421,"2,848.29","8,238","10,168.81"
Nagaon,154,"12,097","3,686.54","14,203","17,802.64",763,"5,424.11","27,063","26,913.29"
Nalbari,86,"6,407","2,167.05","5,392","6,804.44",255,"1,841.97","12,054","10,813.46"
Sivasagar,97,"7,350","2,168.68","8,290","10,171.85",619,"3,925.74","16,259","16,266.27"
Sonitpur,128,"10,998","3,474.12","11,218","14,035.09",641,"4,609.68","22,857","22,118.89"
South Salmara,13,26,8.99,116,236.43,33,214.94,175,460.36
Tamulpur,21,748,226.02,"1,440","1,633.93",23,175.00,"2,211","2,034.95"
Tinsukia,149,"10,260","2,797.09","9,258","12,915.11","1,017","7,359.70","20,535","23,071.90"
Udalguri,51,"4,150","1,400.23","2,364","3,076.01",136,"1,032.36","6,650","5,508.60"
West Karbi Anglong,22,662,168.37,118,261.93,21,164.93,801,595.23
