District,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Bajali,30,79,333.73,78,311.84,258,676.32,106,172.75,25.54
Baksa,38,38,140.24,40,98.86,718,"1,166.18",498,670.39,57.49
Barpeta,94,240,"1,180.19",185,772.12,"1,458","3,346.54",665,"1,258.22",37.60
Biswanath,58,43,246.01,72,227.13,283,597.06,115,141.46,23.69
Bongaigaon,63,45,332.01,52,146.99,638,"1,130.75",313,412.03,36.44
Cachar,161,130,747.1,127,556.87,"1,094","2,719.66",481,686.56,25.24
Charaideo,36,1,2.28,2,5.93,180,405.61,108,214.58,52.90
Chirang,38,60,265.75,38,112.01,"1,327","1,657.53","1,067","1,102.61",66.52
Darrang,70,49,168.81,59,160.38,683,"1,323.53",418,647.84,48.95
Dhemaji,47,110,498.90,150,390.60,944,"2,438.43",407,698.83,28.66
Dhubri,88,90,453.26,52,132.33,"1,604","2,582.88",923,"1,176.72",45.56
Dibrugarh,181,164,963.68,204,730.16,"1,284","3,647.81",564,945.30,25.91
Dima Hasao,31,25,112.51,20,61.86,278,594.03,84,119.12,20.05
Goalpara,72,46,164.63,44,119.14,786,"1,119.22",507,608.76,54.39
Golaghat,121,44,223.99,99,177.77,689,"1,571.86",368,608.88,38.74
Hailakandi,47,143,745.41,143,585.75,673,"1,685.20",305,462.90,27.47
Hojai,59,42,168.61,63,169.78,339,851.34,79,108.34,12.73
Jorhat,134,44,254.03,47,171.95,530,"1,213.86",264,391.05,32.22
Kamrup Metro,176,265,951.23,263,601.08,"1,356","2,865.98",707,957.32,33.40
Karbi Anglong,66,42,156.47,33,72.24,420,608.95,215,168.68,27.70
Karimganj,92,62,234.97,68,210.59,624,"1,424.51",263,463.49,32.54
Kokrajhar,55,80,224.81,69,126.95,"1,800","2,310.59","1,397","1,630.48",70.57
Lakhimpur,92,104,805.61,104,578.21,"1,067","3,039.02",545,"1,003.99",33.04
Majuli,16,15,64.79,7,37.01,192,373.24,50,67.47,18.08
Morigaon,67,51,511.20,51,103.86,807,"1,395.41",540,782.52,56.08
Nagaon,154,110,581.14,100,455.23,"1,129","2,787.10",628,980.42,35.18
Nalbari,86,78,395.40,61,177.79,943,"1,979.94",537,889.36,44.92
Sivasagar,97,97,595.72,125,525.16,756,"2,482.31",271,479.28,19.31
Sonitpur,128,162,944.78,176,709.61,"1,150","2,793.59",463,714.86,25.59
South Salmara,13,12,36.00,9,14.58,389,463.11,315,343.79,74.24
Tamulpur,21,18,60.82,16,38.27,249,434.15,170,233.57,53.80
Tinsukia,149,180,"1,081.37",158,734.81,"1,217","3,413.64",514,766.58,22.46
Udalguri,51,9,21.35,7,11.02,"1,542","2,542.94","1,369","2,162.18",85.03
West Karbi Anglong,22,6,29.83,4,14.78,15,46.53,6,5.54,11.91
