district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bajali,30,"5,13,255","1,52,670","1,12,406"
Baksa,38,"6,14,981","2,63,866","1,34,577"
Barpeta,95,"20,98,341","7,41,284","4,50,654"
Biswanath,58,"8,41,558","2,95,894","1,54,248"
Bongaigaon,63,"9,71,624","3,29,447","1,68,253"
Cachar,164,"22,44,298","8,17,133","3,81,087"
Charaideo,36,"5,60,417","2,09,739","90,350"
Chirang,38,"7,07,909","2,59,531","1,63,953"
Darrang,70,"14,64,748","5,29,943","2,80,259"
Dhemaji,48,"11,86,740","3,49,614","2,04,133"
Dhubri,89,"22,72,512","8,93,896","4,79,577"
Dibrugarh,183,"18,79,072","5,62,691","3,28,996"
Dima Hasao,32,"2,35,593","76,927","43,879"
Goalpara,72,"13,48,319","5,05,003","2,45,677"
Golaghat,122,"15,93,086","5,81,785","2,42,097"
Hailakandi,47,"8,82,077","3,79,561","1,84,876"
Hojai,60,"11,71,374","4,77,970","2,20,483"
Jorhat,135,"14,07,740","4,93,978","2,35,985"
Kamrup Metro,178,"24,31,629","7,98,969","4,88,142"
Karbi Anglong,67,"8,12,847","2,57,895","1,69,857"
Karimganj,93,"14,95,550","5,86,739","2,18,808"
Kokrajhar,56,"10,87,860","4,03,581","2,63,881"
Lakhimpur,93,"14,83,070","4,76,169","2,48,255"
Majuli,16,"2,80,475","1,41,286","71,299"
Morigaon,67,"13,56,333","5,71,592","2,77,808"
Nagaon,156,"30,29,043","13,33,094","5,82,077"
Nalbari,87,"12,56,612","4,88,200","2,83,108"
Sivasagar,98,"10,54,833","3,74,394","1,62,393"
Sonitpur,129,"17,15,602","6,62,838","4,58,360"
South Salmara,14,"3,46,292","1,62,915","1,19,143"
Tamulpur,21,"4,32,810","1,59,733","85,958"
Tinsukia,150,"15,43,640","5,13,929","3,02,055"
Udalguri,51,"11,73,422","4,08,298","2,52,449"
West Karbi Anglong,22,"2,78,543","75,590","40,217"
