District,Total Branch,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S amt,of which girl student O/S Amt
Bajali,30,14,5,43.59,6.83,29,16,70.01,19.69,112,38,329.13,97.97
Baksa,38,15,5,92.21,23.50,23,11,56.15,19.58,63,25,226.97,124.79
Barpeta,94,54,28,184.73,82.87,91,50,174.26,86.79,393,161,1504.54,535.78
Biswanath,58,35,21,93.16,54.32,55,28,79.46,36.16,183,88,667.72,316.82
Bongaigaon,63,31,16,196.26,126.25,50,25,113.02,73.08,164,59,733.94,302.15
Cachar,161,223,57,468.30,182.24,259,69,335.93,116.64,1300,263,3497.48,799.34
Charaideo,36,14,7,115.54,57.58,19,9,59.19,51.17,83,32,271.70,129.91
Chirang,38,14,3,35.66,4.65,17,2,30.28,2.83,67,14,310.30,40.35
Darrang,70,68,26,223.26,78.01,92,40,155.33,77.04,405,168,1284.59,612.77
Dhemaji,47,43,23,77.93,49.63,73,37,95.80,55.42,187,84,536.23,263.82
Dhubri,88,36,16,79.40,32.38,57,21,77.91,34.58,210,55,729.03,194.18
Dibrugarh,181,138,74,562.38,335.38,201,116,395.14,214.82,976,442,3633.44,1681.91
Dima Hasao,31,6,5,11.42,10.97,14,7,28.77,20.98,41,19,142.04,72.65
Goalpara,72,31,13,201.70,89.16,40,19,104.00,56.33,166,68,663.07,251.31
Golaghat,121,70,27,291.23,95.69,126,57,249.15,104.53,423,182,1558.92,650.92
Hailakandi,47,19,6,34.93,18.16,24,5,23.24,6.89,90,24,236.95,82.25
Hojai,59,25,13,79.97,42.06,47,25,99.87,46.12,171,59,632.62,200.59
Jorhat,134,159,78,706.67,374.97,265,133,546.76,307.22,988,461,3994.95,1926.99
Kamrup Metro,176,313,118,1222.77,601.91,550,198,996.16,374.69,1458,491,5039.02,1812.00
Karbi Anglong,66,15,4,98.14,60.11,28,13,70.79,42.55,129,49,337.08,160.84
Karimganj,92,40,18,213.35,104.62,51,22,121.22,71.22,147,46,493.20,145.97
Kokrajhar,55,32,15,130.90,41.24,46,23,115.48,38.75,143,50,506.50,135.75
Lakhimpur,92,67,33,349.47,165.59,134,66,224.92,106.85,382,157,1182.15,482.17
Majuli,16,5,,13.89,,8,1,7.08,0.44,34,5,85.27,5.68
Morigaon,67,35,18,144.01,114.17,61,30,113.64,74.54,164,64,541.96,191.86
Nagaon,154,60,28,328.42,119.78,97,41,294.34,95.77,390,143,1478.85,581.36
Nalbari,86,61,31,175.33,72.73,105,56,124.49,71.87,421,153,1434.50,576.39
Sivasagar,97,61,36,282.38,179.22,111,57,227.15,142.62,357,165,1308.20,575.48
Sonitpur,128,100,54,603.34,228.47,193,104,537.57,212.50,606,247,2744.90,1104.73
South Salmara,13,6,2,9.49,2.36,7,2,11.29,2.32,18,4,55.03,9.30
Tamulpur,21,13,7,16.27,6.98,34,21,40.88,24.55,64,37,155.85,89.22
Tinsukia,149,124,49,628.16,299.28,183,81,513.50,231.90,706,265,2750.97,1013.26
Udalguri,51,67,46,156.42,95.62,117,75,170.79,105.00,338,223,985.62,629.49
West Karbi Anglong,22,0,0,0,0,3,0,4.90,0,15,4,66.59,18.04
