district,Total Branch,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.,MUDRA NPA Amt.%
Bajali,30,"8,441","1,328.83","4,803",807.22,"7,643","6,891.08","1,851","1,423.56",447,"2,332.47",23,112.98,"16,531","10,552.38","6,677","2,343.76",22.21
Baksa,38,"2,053",443.90,484,172.81,"4,343","5,057.05",657,999.01,226,"1,266.51",14,69.12,"6,622","6,767.46","1,155","1,240.94",18.34
Barpeta,94,"25,185","4,975.19","8,272","1,573.17","28,057","25,672.77","6,758","5,756.80","1,706","8,442.39",118,596.83,"54,948","39,090.35","15,148","7,926.80",20.28
Biswanath,58,"8,556","1,482.81","2,743",534.51,"11,912","8,862.68","2,249","1,568.69",396,"2,298.77",24,139.55,"20,864","12,644.26","5,016","2,242.75",17.74
Bongaigaon,63,"15,948","2,903.07","4,148",558.47,"12,086","10,254.89","1,966","1,470.83","1,069","4,960.49",42,250.48,"29,103","18,118.45","6,156","2,279.78",12.58
Cachar,161,"52,578","9,318.16","14,065","2,637.90","62,377","46,797.92","16,062","11,225.71","2,795","11,996.41",180,965.15,"1,17,750","68,112.49","30,307","14,828.76",21.77
Charaideo,36,"6,618","1,251.36","1,409",295.66,"5,752","5,388.53",387,519.39,448,"2,024.72",10,32.73,"12,818","8,664.61","1,806",847.78,9.78
Chirang,38,"7,514","1,468.17","1,641",308.89,"8,435","7,311.93","1,738","1,678.05",244,"1,427.09",29,112.74,"16,193","10,207.19","3,408","2,099.68",20.57
Darrang,70,"19,033","3,779.18","6,701","1,257.11","18,987","16,396.72","4,555","3,806.13","1,220","6,958.51",192,"1,028.94","39,240","27,134.41","11,448","6,092.18",22.45
Dhemaji,47,"9,273","1,797.19","2,884",598.14,"8,079","8,447.17","1,757","1,774.49",805,"4,266.83",71,353.17,"18,157","14,511.19","4,712","2,725.80",18.78
Dhubri,88,"24,999","4,209.34","9,660","1,883.94","28,845","23,479.78","10,832","8,305.88",828,"4,369.07",103,379.47,"54,672","32,058.19","20,595","10,569.29",32.97
