District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt
Bajali,30,0,0.00,8,30.63,42,114.42,0,0.00,21,8.91,1985,577.96,2056,731.92
Baksa,38,0,0.00,5,3.75,63,246.52,0,0.00,27,6.09,710,254.77,805,511.13
Barpeta,94,0,0.00,35,95.36,71,285.15,0,0.00,377,177.39,12862,3556.77,13345,4114.67
Biswanath,58,0,0.00,18,37.06,46,127.25,0,0.00,0,0.00,6914,1944.05,6978,2108.36
Bongaigaon,63,0,0.00,12,26.69,55,250.19,0,0.00,87,42.55,6408,2090.42,6562,2409.85
Cachar,161,0,0.00,68,152.91,143,360.02,0,0.00,14,3.05,28655,11428.27,28880,11944.25
Charaideo,36,0,0.00,10,31.68,5,31.18,0,0.00,34,14.62,967,295.40,1016,372.88
Chirang,38,0,0.00,11,25.79,5,11.81,0,0.00,109,33.05,2528,672.76,2653,743.41
Darrang,70,0,0.00,20,41.20,93,364.93,0,0.00,38,18.77,9746,2263.00,9897,2687.90
Dhemaji,47,0,0.00,14,32.96,30,163.62,0,0.00,15,3.70,2027,461.48,2086,661.76
Dhubri,88,0,0.00,18,56.75,60,248.93,0,0.00,219,130.61,20352,7148.43,20649,7584.72
Dibrugarh,181,0,0.00,46,116.96,138,836.29,0,0.00,9,3.17,6445,1415.85,6638,2372.27
Dima Hasao,31,0,0.00,1,2.81,13,20.50,0,0.00,0,0.00,5,13.69,19,37.00
Goalpara,72,0,0.00,9,29.68,48,134.49,1,0.06,412,263.43,7496,2264.99,7966,2692.65
Golaghat,121,0,0.00,24,41.00,59,243.15,0,0.00,1,0.54,6503,1312.25,6587,1596.94
Hailakandi,47,0,0.00,13,21.46,34,130.73,0,0.00,20,11.19,4781,2276.83,4848,2440.21
Hojai,59,0,0.00,16,93.10,22,158.88,0,0.00,0,0.00,5064,1626.77,5102,1878.75
Jorhat,134,0,0.00,37,96.88,120,595.70,0,0.00,0,0.00,8411,1533.66,8568,2226.24
Kamrup Metro,176,0,0.00,45,81.18,188,499.45,0,0.00,10,4.85,28395,7454.27,28638,8039.75
Karbi Anglong,66,0,0.00,19,42.66,43,141.95,0,0.00,0,0.00,691,213.39,753,398.00
Karimganj,92,0,0.00,10,25.61,26,85.22,0,0.00,7,2.45,13969,6258.90,14012,6372.18
Kokrajhar,55,0,0.00,7,11.04,19,87.44,0,0.00,14,7.99,3212,1103.25,3252,1209.72
Lakhimpur,92,0,0.00,25,43.24,47,206.17,0,0.00,69,30.73,9380,2907.58,9521,3187.72
Majuli,16,0,0.00,6,15.81,7,25.00,0,0.00,0,0.00,547,15.78,560,56.59
Morigaon,67,0,0.00,16,40.13,66,256.71,0,0.00,20,8.59,5060,1661.68,5162,1967.11
Nagaon,154,0,0.00,29,66.89,127,509.92,0,0.00,1,0.64,21217,6204.14,21374,6781.59
Nalbari,86,0,0.00,35,77.06,151,377.54,0,0.00,6,1.78,11707,2773.28,11899,3229.66
Sivasagar,97,0,0.00,18,41.13,49,309.04,0,0.00,10,4.22,5085,1252.50,5162,1606.89
Sonitpur,128,0,0.00,45,81.49,155,555.44,0,0.00,1,0.44,12360,3807.46,12561,4444.83
South Salmara,13,0,0.00,5,23.35,12,31.85,0,0.00,6,4.34,198,231.65,221,291.19
Tamulpur,21,0,0.00,5,19.28,28,78.02,0,0.00,10,2.01,974,263.35,1017,362.66
Tinsukia,149,0,0.00,37,67.45,57,298.93,1,0.00,11,3.64,5691,1270.78,5797,1640.80
Udalguri,51,0,0.00,21,54.32,22,90.91,0,0.00,1,0.27,5380,2017.51,5424,2163.01
West Karbi Anglong,22,0,0.00,0,-,14,47.82,0,0.00,6,0.51,1,3.03,21,51.36
