district,Total Branch,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Bajali,30,571,"1,110.35","6,177","2,415.62"
Baksa,38,184,302.25,"1,139",823.53
Barpeta,94,"2,266","1,510.20","5,599","2,414.20"
Biswanath,58,418,248.00,"2,963","1,144.14"
Bongaigaon,63,"5,646","3,002.27","7,599","3,072.05"
Cachar,161,"11,659","5,044.11","12,319","4,809.50"
Charaideo,36,"3,026","1,858.20","3,684","1,921.90"
Chirang,38,"2,050","1,066.88","2,490","1,200.56"
Darrang,70,"4,809","2,446.12","7,596","2,489.75"
Dhemaji,47,"1,986",879.50,"4,191","1,275.26"
Dhubri,88,527,889.24,"2,115","1,913.47"
Dibrugarh,181,"1,563","1,999.06","7,309","3,108.41"
Dima Hasao,31,303,491.90,633,655.08
Goalpara,72,"3,424","2,269.98","5,559","2,886.79"
Golaghat,121,"2,245","2,642.75","12,984","5,149.32"
Hailakandi,47,215,330.40,921,734.04
Hojai,59,707,639.43,"2,053","1,049.48"
Jorhat,134,652,"1,238.49","21,459","5,271.59"
Kamrup Metro,176,"11,186","4,574.38","27,959","5,822.83"
Karbi Anglong,66,"2,011","3,265.73","5,219","5,545.25"
Karimganj,92,"3,284","1,971.04","4,442","2,666.33"
Kokrajhar,55,"6,592","3,365.54","6,757","3,097.78"
Lakhimpur,92,"1,074",842.84,"7,777","2,893.01"
Majuli,16,"1,694",627.34,"1,942",449.56
Morigaon,67,99,153.72,"2,235","1,115.02"
Nagaon,154,"4,284","2,758.67","19,781","5,505.45"
Nalbari,86,"5,331","2,729.64","14,018","3,784.76"
Sivasagar,97,708,"3,325.21","5,806","5,244.95"
Sonitpur,128,"5,764","2,700.58","13,843","3,681.36"
South Salmara,13,0,0,89,87.21
Tamulpur,21,280,413.82,"1,157",714.46
Tinsukia,149,"4,992","2,724.28","7,812","3,111.45"
Udalguri,51,"5,069","2,347.61","5,617","2,227.55"
West Karbi Anglong,22,445,844.30,"1,301","1,440.43"
