District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Bajali,30,22,76.76,"9,613","6,983.48",2,1.12,4,4.60,1,0.22,6,14.21,"9,648","7,080.39"
Baksa,38,57,128.47,"3,282","3,855.21",14,46.56,2,3.17,0,0,9,4.40,"3,364","4,037.81"
Barpeta,94,167,506.26,"88,632","1,09,286.96",39,49.29,9,31.14,0,0,21,197.81,"88,868","1,10,071.46"
Biswanath,58,378,534.65,"9,461","8,206.40",21,23.83,14,63.97,3,3.1,11,119.30,"9,888","8,951.25"
Bongaigaon,63,885,"1,426.04","26,179","38,418.42",183,149.63,35,115.06,52,17.34,23,95.50,"27,357","40,221.99"
Cachar,161,"2,285","5,531.73","85,719","1,04,618.49",66,235.13,65,233.66,4,8.55,24,226.74,"88,163","1,10,854.30"
Charaideo,36,151,200.06,"1,679","2,718.71",71,191.71,22,83.82,5,12.82,3,2.27,"1,931","3,209.39"
Chirang,38,"2,900","2,507.89","7,201","8,300.27",43,19.48,6,18.19,4,4.02,2,0.72,"10,156","10,850.57"
Darrang,70,285,555.85,"50,602","55,238.04",49,169.99,16,46.84,1,0.06,16,416.02,"50,969","56,426.80"
Dhemaji,47,119,319.19,644,"1,154.10",22,126.54,23,121.00,1,1.36,6,9.61,815,"1,731.80"
Dhubri,88,"1,069",912.87,"82,273","90,873.69",12,20.37,27,148.67,0,0,26,228.03,"83,407","92,183.63"
Dibrugarh,181,"1,133","2,685.21","10,176","20,843.45",206,697.76,282,"1,192.85",8,8.43,61,502.81,"11,866","25,930.51"
Dima Hasao,31,"3,551","8,869.91",398,"1,065.60",7,27.76,5,20.18,0,0,-,-,"3,961","9,983.45"
Goalpara,72,"3,924","2,690.15","39,018","52,594.65",16,17.98,11,48.48,7,11.73,10,75.38,"42,986","55,438.37"
Golaghat,121,"1,530","1,348.95","11,855","13,339.88",813,402.76,52,154.60,5,2.69,27,168.79,"14,282","15,417.67"
Hailakandi,47,227,443.62,"30,318","39,907.92",3,7.46,6,4.47,0,0,1,4.11,"30,555","40,367.58"
Hojai,59,297,723.89,"24,460","31,478.09",19,80.81,37,114.16,0,0,6,10.41,"24,819","32,407.36"
Jorhat,134,857,"2,345.19","8,126","15,357.70",432,621.23,131,"1,026.62",3,30.18,68,881.04,"9,617","20,261.96"
Kamrup Metro,176,"1,027","1,483.13","63,730","75,580.67",313,253.53,37,197.50,0,0,46,741.78,"65,153","78,256.61"
Karbi Anglong,66,"3,240","5,257.46","1,580","2,550.88",73,232.24,31,219.71,2,0.76,10,215.07,"4,936","8,476.12"
Karimganj,92,603,724.29,"37,253","43,897.53",7,24.12,12,55.88,3,6.94,8,151.30,"37,886","44,860.06"
Kokrajhar,55,"4,876","4,602.93","15,648","17,585.52",8,8.03,19,65.27,3,221.21,12,81.91,"20,566","22,564.87"
Lakhimpur,92,"1,122","1,720.59","22,816","25,072.47",65,227.30,35,118.27,22,17.34,9,30.45,"24,069","27,186.42"
Majuli,16,8,18.11,41,117.90,3,4.35,-,-,0,0,-,-,52,140.36
Morigaon,67,149,294.23,"30,813","30,687.61",33,39.50,23,43.92,1,0.27,6,6.4,"31,025","31,071.93"
Nagaon,154,961,916.20,"1,21,257","1,16,877.50",55,66.68,185,709.24,14,6.97,30,73.18,"1,22,502","1,18,649.77"
Nalbari,86,95,254.20,"29,707","35,280.13",23,36.33,33,39.08,3,2.25,35,787.89,"29,896","36,399.88"
Sivasagar,97,391,602.33,"21,642","29,183.21",471,487.53,57,164.21,6,8.83,29,65.81,"22,596","30,511.92"
Sonitpur,128,"1,376","3,270.31","32,743","33,334.66",216,"1,426.25",144,579.23,2,0.14,34,368.50,"34,515","38,979.09"
South Salmara,13,20,94.90,"6,011","11,969.26",1,0.81,3,19.57,0,0,1,0.55,"6,036","12,085.09"
Tamulpur,21,71,148.10,"1,460","2,298.61",0,0,4,8.06,0,0,1,1.96,"1,536","2,456.73"
Tinsukia,149,"1,294","3,924.21","5,331","10,154.40",550,"2,274.37",181,"2,058.37",1,0.54,38,378.73,"7,395","18,790.62"
Udalguri,51,"5,498","8,953.78","10,463","12,466.42",12,6.42,5,3.76,5,3.82,5,3.58,"15,988","21,437.78"
West Karbi Anglong,22,394,"1,056.48",45,201.96,1,1.00,7,15.87,1,0.37,0,0,448,"1,275.68"
