District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Bajali,30,"1,265.03",27,14.39,0,0.00,19,11.16,0,0.00
Baksa,38,"1,940.50",228,1343.12,0,0.00,52,31.67,0,0.00
Barpeta,94,"9,072.99",1940,11834.51,0,0.00,209,92.73,0,0.00
Biswanath,58,"3,425.85",197,94,0,0.00,178,233.51,0,0.00
Bongaigaon,63,"6,388.38",737,412.01,13,0.13,189,141.03,0,0.00
Cachar,161,"9,118.75",2022,1185.34,22,0.22,590,858.04,0,0.00
Charaideo,36,"2,168.43",171,77.38,0,0.00,9,8.04,0,0.00
Chirang,38,"2,191.38",157,65.38,0,0.00,361,64.68,0,0.00
Darrang,70,"4,138.26",493,1090.24,0,0.00,22,25.26,0,0.00
Dhemaji,47,"5,329.11",643,279.72,4,0.04,77,18.51,0,0.00
Dhubri,88,"4,573.93",895,1260.86,0,0.00,56,59.82,0,0.00
Dibrugarh,181,"14,010.30",491,255.4,0,0.00,66,28.19,0,0.00
Dima Hasao,31,117.76,11,7.43,0,0.00,0,0.00,0,0.00
Goalpara,72,"3,744.18",973,1220.36,0,0.00,77,50.65,0,0.00
Golaghat,121,"11,572.84",802,414.23,0,0.00,14,9.38,0,0.00
Hailakandi,47,"1,792.67",546,13461.77,0,0.00,16,6.82,0,0.00
Hojai,59,"4,672.55",604,1590.03,0,0.00,0,0.00,0,0.00
Jorhat,134,"10,858.77",378,173.34,0,0.00,11,3.38,0,0.00
Kamrup Metro,176,"13,994.40",1117,2839.2,0,0.00,69,80.86,0,0.00
Karbi Anglong,66,"2,717.71",718,441.47,0,0.00,53,1.94,0,0.00
Karimganj,92,"3,218.34",520,1025.8,0,0.00,76,40.19,0,0.00
Kokrajhar,55,"4,875.36",398,3326.02,0,0.00,166,31.23,0,0.00
Lakhimpur,92,"9,637.43",4813,4772.78,0,0.00,2366,2604.00,0,0.00
Majuli,16,571.24,80,31.76,0,0.00,0,0.00,0,0.00
Morigaon,67,"8,657.73",943,1925.73,0,0.00,35,21.74,0,0.00
Nagaon,154,"18,672.38",661,315.21,0,0.00,2750,903.45,0,0.00
Nalbari,86,"3,948.44",441,538.45,0,0.00,66,44.22,0,0.00
Sivasagar,97,"10,481.05",860,567.18,0,0.00,113,90.56,0,0.00
Sonitpur,128,"8,966.44",701,363.6,0,0.00,162,61.71,0,0.00
South Salmara,13,290.79,25,15.25,0,0.00,0,0.00,0,0.00
Tamulpur,21,997.25,130,88.86,0,0.00,16,21.85,0,0.00
Tinsukia,149,"12,832.71",7319,7335.93,0,0.00,2822,1768.91,0,0.00
Udalguri,51,"3,413.10",223,1701.51,0,0.00,259,172.93,0,0.00
West Karbi Anglong,22,"1,280.43",32,20.28,0,0.00,0,0.00,0,0.00
