District,Total Branch,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Others under MSMEs A/C,Others under MSMEs Amt,Clf Tl A/C,Clf Tl Amt,Clf Wc A/C,Clf Wc Amt,Tot Msme (PS) Disb No.,Tot Msme (PS) Disb Amt
Bajali,30,979,4683.94,209,2014.33,32,1581.97,14,561.98,0,0,0,0,26,131.68,0,0,17,11.48,0,0,0,0,1277,8985.38
Baksa,38,677,1793.92,447,2658.28,21,427.42,24,1930.43,1,131.25,4,1620.48,7,16.99,0,0,3,0.06,10,12,0,0,1194,8590.83
Barpeta,94,2874,12734.85,1374,14687.06,114,5830.81,88,5334.90,7,783.32,6,1944.89,45,205.9,24,78.99,8,0.74,18,18,6,8,4564,41627.46
Biswanath,58,933,5972.36,1350,5319.05,30,1687.18,75,998.05,2,100,0,0,11,69.6,2,5.78,0,0,0,0,0,0,2403,14152.02
Bongaigaon,63,1985,9653.02,1021,9036.93,86,10089.04,63,3650.40,8,2123,2,400,13,52.9,17,31.21,13,2.61,6,9,0,0,3214,35048.11
Cachar,161,5575,21178.35,2906,18270.83,261,19266.12,216,14688.27,56,8525.29,8,3015.78,91,329.88,12,45.64,19,22.55,35,40.5,12,17.1,9191,85400.31
Charaideo,36,1157,4000.79,298,2610.80,45,524.49,29,424.44,1,3,0,0,0,0,0,0,1,5,0,0,0,0,1531,7568.52
Chirang,38,962,3747.61,382,1739.17,30,1645.03,14,449.87,2,881.25,1,293.75,7,13.16,2,2.02,0,0,0,0,0,0,1400,8771.86
Darrang,70,2618,10583.01,1307,7159.68,101,5400.92,58,2836.94,7,1143.31,2,4.44,26,40.2,8,7.69,5,0.46,0,0,0,0,4132,27176.65
Dhemaji,47,1210,4274.87,1713,6733.45,49,1565.98,44,2196.40,0,0,0,0,8,25.93,1,1.08,16,6.04,8,8,0,0,3049,14811.75
Dhubri,88,2600,13302.41,1367,5715.58,92,7803.74,38,2062.43,4,1850,1,390,2,6.87,0,0,0,0,18,22,12,8.5,4134,31161.53
Dibrugarh,181,4494,29319.67,4624,33118.21,286,19689.07,429,29851.36,42,3912.16,17,2244.75,46,249.3,15,45.38,11,12.26,38,46,16,16.9,10018,118505.06
Dima Hasao,31,1023,2262.32,248,995.14,6,101.36,4,68.30,1,0.5,0,0,4,5.08,0,0,1,2.85,0,0,0,0,1287,3435.55
Goalpara,72,1964,6981.29,994,4978.42,66,3981.79,47,2217.22,4,237.42,1,16.07,27,50.39,1,0.05,1,5.78,0,0,0,0,3105,18468.43
Golaghat,121,2708,11481.85,1699,8891.63,81,6786.90,123,3380.23,4,208.65,0,1.5,14,91.83,1,0.25,0,0,10,8.5,0,0,4640,30851.34
Hailakandi,47,1278,4202.51,891,6844.96,30,1240.99,42,3731.01,3,105.99,1,600,22,112.44,7,46.47,2,0.2,0,0,0,0,2276,16884.57
Hojai,59,2037,10869.26,1425,8853.95,93,3570.70,76,3178.48,4,16.6,1,70,4,17.46,1,3.58,1,7,0,0,0,0,3642,26587.03
Jorhat,134,3064,25016.83,1808,16977.99,210,18849.56,168,12823.85,52,9705.62,8,6980.55,4,7.46,0,0,7,102.08,0,0,0,0,5321,90463.94
Kamrup Metro,176,2903,15481.39,2317,23009.24,197,6811.73,181,12864.77,19,779.82,5,384.75,145,367.48,9,11.11,5,12.34,36,36.4,14,13,5831,59772.03
Karbi Anglong,66,2435,5809.51,479,2675.37,11,369.78,13,854.35,1,1.48,0,0,28,101.77,3,2.55,0,0,0,0,0,0,2970,9814.81
Karimganj,92,2139,8408.09,1281,8227.11,130,5885.22,88,2527.98,25,1370.88,2,53.86,38,112.45,1,0.36,5,0.4,0,0,0,0,3709,26586.35
Kokrajhar,55,1451,5946.68,859,5046.79,47,1782.80,52,2232.99,0,0,0,0,9,19.17,0,0,2,400.03,0,0,0,0,2420,15428.46
Lakhimpur,92,2283,8665.56,2264,13320.57,108,5748.59,130,5841.20,19,2118.94,7,1379.64,33,212.77,3,8.39,13,7.95,14,14.5,0,0,4874,37318.11
Majuli,16,187,1004.59,75,469.60,20,226.38,9,104.98,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,292,1805.56
Morigaon,67,920,5053.73,659,5941.31,75,1627.91,68,3955.15,3,110.1,3,500.01,4,7.59,0,0,5,4.88,8,10.5,0,0,1745,17211.18
Nagaon,154,3950,19576.05,1885,16756.01,199,12754.96,191,7614.58,36,5140.57,6,245.03,29,137.78,11,34.11,5,6.91,0,0,0,0,6312,62266.00
Nalbari,86,2058,9591.32,1209,7777.48,70,3725.31,55,3811.98,3,66,3,88,40,132.75,11,25.18,4,22.5,12,10.5,0,0,3465,25251.02
Sivasagar,97,2542,13425.41,2159,16604.71,116,6720.08,186,14388.13,12,2196.19,10,3531.83,13,54.54,1,19.12,4,47,12,14,0,0,5055,57001.01
Sonitpur,128,3349,21210.22,2131,19961.20,135,12665.19,158,9484.85,43,2339.65,8,1069.59,71,277.73,10,36.51,4,35.2,0,0,0,0,5909,67080.14
South Salmara,13,227,1297.90,52,361.04,6,123.58,5,137.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,1919.60
Tamulpur,21,430,1005.60,101,425.10,5,220.18,6,18.69,0,0,0,0,2,8.44,0,0,0,0,0,0,0,0,544,1678.01
Tinsukia,149,4889,32735.15,3508,31909.83,356,18533.28,283,17910.64,35,4132.5,15,2663.89,27,137.07,2,17.94,10,0.2,10,14,0,0,9135,108054.50
Udalguri,51,921,3418.03,233,1821.23,11,306.09,3,33.90,1,1,0,0,6,11.02,0,0,2,8.07,12,16,0,0,1189,5615.34
West Karbi Anglong,22,457,637.34,142,275.37,0,0,0,0,0,0,0,0,2,5.85,0,0,0,0,0,0,0,0,601,918.56
