district,Total Branch,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficiaries No,women beneficiaries Amt,Minority communities No,Minority communities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Bajali,30,"20,906","13,224.97","2,072","1,463.77",732,856.92,29,1.13,"2,932","4,611.54","13,676","3,942.86","5,712","4,062.77",536,0.98,758,729.56,"47,353","28,894.50"
Baksa,38,"13,730","10,248.89",930,"1,329.84","4,663","6,281.88",11,0.87,"4,428","9,490.43","7,017","2,046.82","1,763","2,494.80",261,0.57,"1,628","1,297.25","34,431","33,191.35"
Barpeta,94,"50,488","38,978.19","6,225","3,977.17","1,785","2,112.26",90,12.76,"15,082","15,909.60","50,615","15,498.96","32,971","45,146.14",489,4.59,"5,935","5,482.23","1,63,680","1,27,121.90"
Biswanath,58,"23,683","18,150.59","4,650","3,883.80","6,774","4,726.59",13,1.33,"8,585","15,267.14","24,995","7,677.57","3,633","3,798.97",114,0.33,"4,778","3,253.29","77,225","56,759.61"
Bongaigaon,63,"25,646","21,430.53","4,412","3,897.26","2,327","4,699.76",30,5.07,"5,243","8,328.95","24,074","8,686.56","10,201","13,409.01",948,7.78,"4,458","5,178.88","77,339","65,643.80"
Cachar,161,"63,728","37,428.23","25,506","17,101.29","6,114","5,633.11",11,0.93,"10,946","10,271.76","1,13,260","37,224.12","33,958","43,441.03","1,940",14.55,"10,983","13,265.54","2,66,446","1,64,380.56"
Charaideo,36,"13,393","9,583.41","1,088","1,086.44",751,760.10,6,0.29,"3,423","6,513.32","12,317","3,347.03",872,"1,520.28",127,0.10,"1,473","1,875.62","33,450","24,686.59"
Chirang,38,"15,672","13,353.52","1,827","1,454.97","9,546","10,614.63",3,0.38,"3,786","8,012.95","12,877","4,221.58","3,371","3,692.30",12,0.22,"2,157","2,107.35","49,251","43,457.90"
Darrang,70,"47,111","33,382.42","2,462","2,016.04","1,410","1,570.68",10,0.89,"8,929","14,320.19","36,463","10,518.47","19,365","26,903.81",854,1.71,"4,383","3,445.10","1,20,987","92,159.31"
Dhemaji,47,"33,516","25,194.94","3,370","3,231.60","11,980","15,809.20",2,0.07,"7,922","14,019.11","16,114","5,162.46",217,517.07,153,0.39,"6,213","5,461.27","79,487","69,396.11"
Dhubri,88,"37,239","23,640.56","5,915","3,729.97","2,084","1,615.64",16,1.24,"8,792","10,957.31","53,534","15,608.26","24,681","29,381.58",664,1.42,"7,223","7,717.11","1,40,148","92,653.09"
Dibrugarh,181,"70,401","48,330.85","9,097","9,002.38","10,001","12,729.11",171,14.96,"9,283","16,816.84","70,415","22,000.70","3,757","12,443.04",612,2.97,"10,157","12,563.22","1,83,894","1,33,904.07"
