District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bajali,30,4262,10165.25,203,3175.56,1,80.87,196,319.79,4662,13741.47
Baksa,38,5815,8732.50,111,3036.94,3,434.69,1195,912.71,7124,13116.84
Barpeta,94,19597,53747.10,552,15127.22,49,2937.94,504,351.36,20702,72163.62
Biswanath,58,9508,13915.37,168,1750.91,7,59.05,810,363.06,10493,16088.39
Bongaigaon,63,12350,35813.30,721,18207.70,41,1663.52,682,299.00,13794,55983.52
Cachar,161,31331,85997.15,1338,37339.80,123,11243.47,1125,1034.05,33917,135614.47
Charaideo,36,5192,11892.01,159,1146.61,4,150.01,56,60.31,5411,13248.94
Chirang,38,7061,11730.64,128,2614.67,3,1037.40,427,222.74,7619,15605.45
Darrang,70,13264,31269.17,398,10171.95,18,1721.17,733,417.22,14413,43579.51
Dhemaji,47,12255,19261.52,444,7067.58,7,67.24,1216,1041.44,13922,27437.78
Dhubri,88,15324,31656.49,647,10580.45,10,2203.36,271,295.84,16252,44736.14
Dibrugarh,181,35368,119670.51,1865,66555.69,231,12737.69,926,489.02,38390,199452.91
Dima Hasao,31,3690,6250.63,91,520.71,1,0.46,193,258.00,3975,7029.80
Goalpara,72,12690,22585.29,282,9215.69,5,129,240,209.07,13217,32139.05
Golaghat,121,17670,39974.29,857,19831.10,23,1104.04,1602,1105.48,20152,62014.91
Hailakandi,47,8323,18357.56,250,6111.95,5,627.18,219,163.87,8797,25260.56
Hojai,59,11547,24460.97,315,5112.26,1,56.12,38,183.04,11901,29812.39
Jorhat,134,23643,83070.59,1249,47141.35,134,18661.98,1790,1504.21,26816,150378.13
Kamrup Metro,176,26766,65392.45,892,19533.94,62,2796.80,2578,1831.65,30298,89554.84
Karbi Anglong,66,10142,16511.30,196,1569.96,1,1.36,162,127.52,10501,18210.14
Karimganj,92,11226,29094.00,574,10822.60,44,1979.55,988,794.72,12832,42690.87
Kokrajhar,55,9688,19104.55,246,6047.11,,,213,646.62,10147,25798.28
Lakhimpur,92,20010,40506.33,951,19530.97,43,3057.12,4796,2989.82,25800,66084.24
Majuli,16,2055,5363.65,70,765.57,1,2.21,437,335.74,2563,6467.17
Morigaon,67,11367,23331.32,288,4670.32,16,928.91,1519,895.98,13190,29826.53
Nagaon,154,25431,62791.68,968,26016.35,92,5953.36,846,633.59,27337,95394.98
Nalbari,86,13481,30744.32,349,9580.64,16,241.30,928,832.27,14774,41398.53
Sivasagar,97,18727,53802.92,754,27068.04,34,4490.62,787,583.22,20302,85944.80
Sonitpur,128,22761,75945.78,994,28949.02,106,4569.50,830,752.35,24691,110216.65
South Salmara,13,1576,3414.88,26,343.32,1,14.41,31,103.90,1634,3876.51
Tamulpur,21,4466,4648.20,31,278.65,,,102,85.9,4599,5012.75
Tinsukia,149,25713,98868.38,1321,45512.06,70,6484.42,619,600.18,27723,151465.04
Udalguri,51,9731,16049.60,168,897.25,1,0.99,1505,1401.13,11405,18348.97
West Karbi Anglong,22,1771,1475.70,2,6.27,0,0,0,0,1773,1481.97
