District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Pct
Bajali,30,0,0.00,0,0.00,0,3,11.99,30,1,1.00,10,3,11.99,170,344.44,9,5.46,1.59
Baksa,38,0,0.00,0,0.00,0,1,0.66,1,0,0.00,0,1,0.66,52,210.60,7,1.19,0.57
Barpeta,94,1,1.00,1,3.00,5,5,8.71,18,11,16.68,16,7,12.71,894,1436.10,193,51.14,3.56
Biswanath,58,0,0.00,14,62.70,210,28,86.32,257,27,85.32,247,42,149.02,71,128.79,1,0.42,0.33
Bongaigaon,63,2,4.00,16,49.00,160,28,79.32,245,31,86.32,238,46,132.32,90,128.26,23,11.72,9.14
Cachar,161,25,32.45,16,34.86,124,53,139.96,398,44,88.46,237,94,207.27,316,593.04,22,15.10,2.55
Charaideo,36,5,6.11,0,0.00,0,0,0.00,0,1,5.00,1,5,6.11,8,9.24,0,0.00,0.00
Chirang,38,0,0.00,0,0.00,0,1,3.00,10,12,34.50,0,1,3.00,57,53.58,4,1.17,2.18
Darrang,70,0,0.00,0,0.00,0,38,91.50,262,37,90.50,261,38,91.50,331,638.51,6,5.57,0.87
Dhemaji,47,7,0.80,0,0.00,0,75,231.72,453,74,230.72,452,82,232.52,159,271.07,3,2.65,0.98
Dhubri,88,0,0.00,2,1.52,5,14,28.72,117,10,18.72,56,16,30.24,286,228.93,174,104.65,45.71
Dibrugarh,181,24,39.20,0,0.00,0,79,216.21,609,81,217.21,611,103,255.41,524,1127.97,39,24.37,2.16
Dima Hasao,31,8,9.12,16,59.00,160,18,65.00,180,16,59.00,160,42,133.12,45,96.03,3,4.87,5.07
Goalpara,72,0,0.00,7,21.00,70,17,36.20,134,12,27.00,71,24,57.20,68,97.91,7,4.78,4.88
Golaghat,121,0,0.00,1,6.00,10,26,88.12,107,15,46.12,77,27,94.12,98,282.11,11,7.07,2.51
Hailakandi,47,5,0.98,0,0.00,0,24,53.12,151,10,6.21,43,29,54.10,284,394.79,31,31.40,7.95
Hojai,59,0,0.00,0,0.00,0,1,5.50,1,0,0.00,0,1,5.50,236,516.42,1,5.00,0.97
Jorhat,134,0,0.00,6,9.18,48,21,42.61,85,36,79.63,89,27,51.79,946,2090.19,12,6.90,0.33
Kamrup Metro,176,49,0.00,2,4.00,10,30,62.6,156,40,54.53,139,81,66.63,407,875.05,19,12.26,1.40
Karbi Anglong,66,28,8.04,2,12.00,20,10,21.00,100,13,28.00,107,40,41.04,32,47.47,1,1.84,3.88
Karimganj,92,1,1.90,2,7.00,18,10,35.00,51,4,16.40,20,13,43.90,165,257.80,39,13.48,5.23
Kokrajhar,55,70,0.00,1,2.50,0,6,9.99,51,9,18.00,1,77,12.49,61,64.70,8,7.94,12.27
Lakhimpur,92,2,1.80,2,3.49,20,32,84.44,257,32,98.03,117,36,89.73,138,189.55,5,1.32,0.70
Majuli,16,3,0.00,0,0.00,0,2,4.00,2,1,5.00,1,5,4.00,0,0.00,0,0.00,0.00
Morigaon,67,48,2.11,0,0.00,0,13,40.88,61,26,29.38,63,61,42.99,307,413.53,60,14.19,3.43
Nagaon,154,4,0.00,2,4.50,20,13,36.85,73,18,45.85,76,19,41.35,323,741.98,10,7.93,1.07
Nalbari,86,56,0.00,0,0.00,13,4,7.92,29,8,2.93,10,60,7.92,237,575.57,16,12.44,2.16
Sivasagar,97,35,3.64,22,94.00,110,31,79.72,277,55,56.72,256,88,177.36,215,403.45,9,9.17,2.27
Sonitpur,128,83,0.00,0,0.00,6,46,142.80,385,85,72.30,249,129,142.80,366,766.89,5,4.18,0.55
South Salmara,13,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,4.03,0,0.00,0.00
Tamulpur,21,0,0.00,0,0.00,0,1,0.00,1,0,0.00,0,1,0.00,7,7.79,0,0.00,0.00
Tinsukia,149,10,7.40,2,4.38,10,63,138.80,453,46,92.20,162,75,150.58,1344,2874.18,52,39.42,1.37
Udalguri,51,85,3.47,0,0.00,0,18,40.88,122,38,36.88,121,103,44.35,53,95.08,4,3.46,3.64
West Karbi Anglong,22,0,0.00,1,2.10,5,0,0.00,0,0,0.00,0,1,2.10,51,201.51,0,0.00,0.00
