District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Bajali,30,27287,18683.68,9852,4084.36,21.86,4662,13741.47,1223,1109.75,8.08,6403,12247.59,2056,731.92,5.98,38352,44672.74,13131,5926.03,13.27
Baksa,38,21666,20459.98,6795,3631.11,17.75,7124,13116.84,2533,2451.86,18.69,2411,6624.47,805,511.13,7.72,31201,40201.29,10133,6594.10,16.40
Barpeta,94,77765,66889.52,28478,14884.16,22.25,20702,72163.62,6858,7294.18,10.11,33532,33118.84,13345,4114.67,12.42,131999,172171.98,48681,26293.01,15.27
Biswanath,58,39108,36581.71,12507,6315.68,17.26,10493,16088.39,3551,2607.03,16.20,15585,18509.42,6978,2108.36,11.39,65186,71179.52,23036,11031.07,15.50
Bongaigaon,63,34716,35222.44,6278,3557.63,10.10,13794,55983.52,2384,4439.04,7.93,18656,23358.00,6562,2409.85,10.32,67166,114563.96,15224,10406.52,9.08
Cachar,161,83298,68216.84,27903,19867.10,29.12,33917,135614.47,5276,9134.43,6.74,85537,64473.22,28880,11944.25,18.53,202752,268304.53,62059,40945.78,15.26
Charaideo,36,19889,17495.89,3896,2813.46,16.08,5411,13248.94,1254,1685.32,12.72,5813,13338.83,1016,372.88,2.80,31113,44083.66,6166,4871.66,11.05
Chirang,38,24472,22922.13,8978,5135.88,22.41,7619,15605.45,3070,2833.44,18.16,9429,8765.27,2653,743.41,8.48,41520,47292.85,14701,8712.73,18.42
Darrang,70,64830,50801.19,23153,12508.69,24.62,14413,43579.51,4509,5818.53,13.35,19770,19553.74,9897,2687.90,13.75,99013,113934.44,37559,21015.12,18.44
Dhemaji,47,42206,36624.27,12476,7225.25,19.73,13922,27437.78,3522,3526.63,12.85,9673,18481.27,2086,661.76,3.58,65801,82543.32,18084,11413.64,13.83
Dhubri,88,48152,37529.78,21270,10146.78,27.04,16252,44736.14,5294,3941.05,8.81,42090,30070.74,20649,7584.72,25.22,106494,112336.66,47213,21672.55,19.29
Dibrugarh,181,107796,103316.29,36936,23463.12,22.71,38390,199452.91,7120,15670.54,7.86,32200,55292.46,6638,2372.27,4.29,178386,358061.66,50694,41505.93,11.59
Dima Hasao,31,3443,3695.77,751,344.54,9.32,3975,7029.80,344,318.10,4.53,539,4616.07,19,37.00,0.80,7957,15341.64,1114,699.64,4.56
Goalpara,72,42611,38344.39,15182,8317.27,21.69,13217,32139.05,4892,4493.31,13.98,22628,19372.46,7966,2692.65,13.90,78456,89855.90,28040,15503.23,17.25
Golaghat,121,90185,75855.45,30604,15342.33,20.23,20152,62014.91,3783,5484.59,8.84,30912,30679.42,6587,1596.94,5.21,141249,168549.78,40974,22423.86,13.30
Hailakandi,47,24576,17916.53,8798,5150.77,28.75,8797,25260.56,1965,2513.41,9.95,15527,12532.30,4848,2440.21,19.47,48900,55709.39,15611,10104.39,18.14
Hojai,59,31894,24843.52,11083,6576.22,26.47,11901,29812.39,2405,2118.22,7.11,15850,28955.04,5102,1878.75,6.49,59645,83610.95,18590,10573.19,12.65
Jorhat,134,76240,81329.69,27666,12958.15,15.93,26816,150378.13,4069,10553.95,7.02,28485,51247.95,8568,2226.24,4.34,131541,282955.77,40303,25738.34,9.10
Kamrup Metro,176,117290,88835.79,43360,22899.70,25.78,30298,89554.84,9812,9063.56,10.12,65316,62591.15,28638,8039.75,12.84,212904,240981.78,81810,40003.01,16.60
Karbi Anglong,66,46225,37825.17,8619,4435.75,11.73,10501,18210.14,1090,844.11,4.64,5244,22892.64,753,398.00,1.74,61970,78927.95,10462,5677.86,7.19
Karimganj,92,41130,35014.01,13966,10802.59,30.85,12832,42690.87,2388,3520.26,8.25,41287,28600.63,14012,6372.18,22.28,95249,106305.51,30366,20695.03,19.47
Kokrajhar,55,39006,36599.25,12034,6859.24,18.74,10147,25798.28,3798,4042.41,15.67,18144,16460.27,3252,1209.72,7.35,67297,78857.80,19084,12111.37,15.36
Lakhimpur,92,94864,70089.67,32022,17657.39,25.19,25800,66084.24,7366,7669.07,11.60,24108,40702.69,9521,3187.72,7.83,144772,176876.60,48909,28514.18,16.12
Majuli,16,8635,7027.60,2752,1686.84,24.00,2563,6467.17,525,537.58,8.31,1137,3197.57,560,56.59,1.77,12335,16692.34,3837,2281.01,13.67
Morigaon,67,62899,52374.34,20821,13007.97,24.84,13190,29826.53,3416,4129.60,13.85,15634,35774.34,5162,1967.11,5.50,91723,117975.21,29399,19104.68,16.19
Nagaon,154,152248,107726.59,66117,30724.78,28.52,27337,95394.98,7397,10391.57,10.89,52093,61323.19,21374,6781.59,11.06,231678,264444.76,94888,47897.94,18.11
Nalbari,86,69762,48683.64,27500,11009.29,22.61,14774,41398.53,5337,5275.83,12.74,24616,31561.99,11899,3229.66,10.23,109152,121644.16,44736,19514.78,16.04
Sivasagar,97,65939,44505.56,16901,8368.56,18.80,20302,85944.80,3660,4767.80,5.55,22065,34293.51,5162,1606.89,4.69,108306,164743.87,25723,14743.25,8.95
Sonitpur,128,74998,66011.92,23641,12153.17,18.41,24691,110216.65,6239,8112.97,7.36,35820,59495.86,12561,4444.83,7.47,135509,235724.43,42441,24710.97,10.48
South Salmara,13,3523,3055.91,1866,832.10,27.23,1634,3876.51,1035,1312.69,33.86,662,3311.19,221,291.19,8.79,5819,10243.61,3122,2435.98,23.78
Tamulpur,21,11091,9472.91,4705,2185.38,23.07,4599,5012.75,1502,1133.89,22.62,3351,4660.96,1017,362.66,7.78,19041,19146.62,7224,3681.93,19.23
Tinsukia,149,77788,89224.42,24696,15825.71,17.74,27723,151465.04,5266,7853.43,5.18,25463,37071.71,5797,1640.80,4.43,130974,277761.17,35759,25319.94,9.12
Udalguri,51,48532,37363.90,27593,16054.68,42.97,11405,18348.97,5556,6375.54,34.75,13148,23792.61,5424,2163.01,9.09,73085,79505.48,38573,24593.23,30.93
West Karbi Anglong,22,14265,10596.92,2165,933.49,8.81,1773,1481.97,130,74.69,5.04,581,5859.81,21,51.36,0.88,16619,17938.70,2316,1059.54,5.91
