District,Total Branch,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt
Bajali,30,3030,1976.60,6267,1827.05,58,50.71,497,230.00,9852,4084.36
Baksa,38,3478,1964.42,2812,1514.61,12,5.76,493,146.32,6795,3631.11
Barpeta,94,17413,10315.82,9878,4032.07,136,89.95,1051,446.32,28478,14884.16
Biswanath,58,7179,4300.28,4341,1705.49,2,1.07,985,308.84,12507,6315.68
Bongaigaon,63,3483,1850.44,2404,1363.72,4,1.5,387,341.97,6278,3557.63
Cachar,161,19312,14130.85,6590,3769.36,47,111.99,1954,1854.90,27903,19867.10
Charaideo,36,2319,1924.77,1152,663.36,10,0.66,415,224.67,3896,2813.46
Chirang,38,6958,3806.90,1816,1164.56,0,0,204,164.42,8978,5135.88
Darrang,70,12596,7578.05,9483,4276.48,71,200.96,1003,453.20,23153,12508.69
Dhemaji,47,8389,5156.59,3087,1655.08,2,0.24,998,413.34,12476,7225.25
Dhubri,88,13263,6756.98,6829,2787.33,59,12.03,1119,590.44,21270,10146.78
Dibrugarh,181,28442,17837.64,6709,3774.15,41,74.66,1744,1776.67,36936,23463.12
Dima Hasao,31,489,179.27,232,134.69,0,0,30,30.58,751,344.54
Goalpara,72,8822,4337.51,4679,3210.13,17,8.42,1664,761.21,15182,8317.27
Golaghat,121,21924,11125.54,6918,3322.84,2,2.53,1760,891.42,30604,15342.33
Hailakandi,47,6738,3928.46,1719,948.68,27,37.1,314,236.53,8798,5150.77
Hojai,59,8441,5157.07,1687,821.17,53,50.76,902,547.22,11083,6576.22
Jorhat,134,18582,9485.60,7864,2729.00,50,98.81,1170,644.74,27666,12958.15
Kamrup Metro,176,28141,16274.05,11374,4672.08,33,24.37,3812,1929.20,43360,22899.70
Karbi Anglong,66,7356,3524.13,1179,764.86,0,0,84,146.76,8619,4435.75
Karimganj,92,8626,7162.74,4316,2406.62,20,13.92,1004,1219.31,13966,10802.59
Kokrajhar,55,10062,5469.85,1850,1272.84,9,8.01,113,108.54,12034,6859.24
Lakhimpur,92,19521,13163.40,10265,3492.85,0,0,2236,1001.14,32022,17657.39
Majuli,16,1706,884.25,980,743.32,0,0,66,59.27,2752,1686.84
Morigaon,67,11634,8591.56,7590,3548.04,106,93.4,1491,774.97,20821,13007.97
Nagaon,154,37373,20447.90,25345,8181.86,26,52.78,3373,2042.24,66117,30724.78
Nalbari,86,13321,6521.69,13235,3906.40,26,42.03,918,539.17,27500,11009.29
Sivasagar,97,9315,5092.51,5931,2522.98,18,60.33,1637,692.74,16901,8368.56
Sonitpur,128,10034,6592.87,11337,4488.01,73,69.68,2197,1002.61,23641,12153.17
South Salmara,13,1566,473.92,299,357.21,0,0,1,0.97,1866,832.10
Tamulpur,21,2944,1424.84,1354,671.50,0,0,407,89.04,4705,2185.38
Tinsukia,149,19024,12519.24,4245,2507.53,244,119.64,1183,679.30,24696,15825.71
Udalguri,51,19425,11945.38,7686,3971.16,3,4.29,479,133.85,27593,16054.68
West Karbi Anglong,22,1576,729.53,564,191.12,14,0,11,12.84,2165,933.49
