district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Aizawl,2863620.47,58260,46756,78198,57856,19402,48271,29839,105016,74859
Champhai,371.79,15424,12502,20357,11737,6343,8316,14437,27926,13491
Hnahthial,158.19,4581,4944,8250,4535,1065,4163,9525,9525,0
Khawzawl,93.29,9796,7016,13910,7183,3677,7088,7551,16812,9261
Kolasib,1144.90,14859,11136,19720,13544,5735,10914,16651,25995,9344
Lawngtlai,757.57,28682,27489,40753,21204,9021,20021,42979,56171,13192
Lunglei,853.56,31276,32676,41388,27152,15998,23757,33852,63952,30099
Mamit,355.37,21184,17037,30644,14805,5185,14472,38221,38221,0
Saiha,346.60,17311,13528,18408,13452,6111,10323,9464,30839,21377
Saitual,195.04,11181,8686,16156,7655,3582,7374,13064,19867,6803
Serchhip,272.09,11893,10205,18045,11795,3452,11405,13356,22098,8742
