district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Aizawl,6,0,141,312,16,327,22,0,110,147,132
Champhai,1,10,0,124,9,133,6,14,0,11,20
Hnahthial,2,0,0,26,0,26,5,0,0,2,5
Khawzawl,3,1,0,27,0,27,5,3,0,4,8
Kolasib,2,14,0,154,6,160,8,19,0,16,27
Lawngtlai,4,4,0,177,0,177,6,7,0,8,13
Lunglei,1,15,3,201,1,202,7,14,4,19,25
Mamit,5,0,0,99,0,99,12,0,0,5,12
Saiha,0,6,0,66,1,67,2,7,0,6,9
Saitual,2,1,0,20,0,20,7,4,0,3,11
Serchhip,4,4,0,97,0,97,11,8,0,8,19
