district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Aizawl,55754,1703.68,923,513.88,59323733,1272612.84,378988,30142.04,461732,2065716.89,156022,5377.07
Champhai,440,52.04,10,45.52,4290020,146355.00,32998,2787.60,105565,732540.73,6914,149.16
Hnahthial,0,0.00,7,9.68,947836,15698.69,1061,85.71,34489,3001.96,2265,57.29
Khawzawl,0,0.00,2,1.92,1554415,25224.49,2528,327.85,34575,3281.50,2450,53.38
Kolasib,661,104.64,34,215.68,6023528,111434.22,28259,1897.95,87846,168642.46,16241,430.33
Lawngtlai,0,0.00,143,2024.66,6030868,123684.82,23526,1575.01,156968,22934.18,4850,157.92
Lunglei,666,58.05,105,556.07,8194529,158944.97,36354,5195.13,122245,353468.42,15595,383.71
Mamit,0,0.00,33,107.38,1999659,31857.69,5593,253.45,97039,6223.54,2947,92.58
Saiha,0,0.00,16,35.63,4003763,74554.55,11120,1681.46,82215,8712.16,4622,123.93
Saitual,0,0.00,0,0.00,1282399,23282.09,1595,148.98,73665,4861.13,2774,65.47
Serchhip,0,0.00,2,3.91,2730242,51613.49,17619,1635.82,86082,18647.03,7049,160.82
