district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Aizawl,216.11,28,599.26,119,71210.31,10031,362028.91,47025
Champhai,0.00,0,12.96,7,4594.12,1070,23382.00,5274
Hnahthial,0.00,0,0.00,1,1880.90,541,9651.63,2030
Khawzawl,3.72,2,26.07,2,2925.77,710,11288.63,3328
Kolasib,107.11,42,170.68,97,8140.81,2050,31273.00,7934
Lawngtlai,4.71,2,68.85,17,12410.65,2068,48122.74,8964
Lunglei,20.68,3,81.07,29,11850.18,2626,56607.23,11521
Mamit,0.00,0,7.55,2,5669.71,1658,19556.29,6791
Saiha,0.65,1,28.59,9,5255.98,835,24957.27,4350
Saitual,0.00,0,0.00,0,4620.83,1335,14055.52,4873
Serchhip,15.94,3,60.78,13,8672.61,2193,32266.02,8746
