district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Aizawl,287.37,44,76455.34,12812,68.00,2,2087.77,85,65.75,9,78965.00,12954,0.77,2
Champhai,0.00,0,5125.93,1141,0.00,0,0.70,2,0.00,0,5126.63,1143,0.00,0
Hnahthial,0.00,0,2051.90,561,0.00,0,0.00,0,0.23,2,2052.13,563,0.00,0
Khawzawl,0.00,0,4367.07,883,0.00,0,0.00,0,0.00,0,4367.07,883,0.00,0
Kolasib,12.39,3,9530.53,4255,0.40,1,372.02,274,0.00,0,9915.34,4533,0.00,0
Lawngtlai,2803.74,569,10220.10,1606,0.00,0,18.20,2,0.00,0,13045.61,2178,3.57,1
Lunglei,385.35,182,12695.78,2666,0.00,0,15.50,2,2.50,1,13099.13,2851,0.00,0
Mamit,355.23,181,5661.63,1564,0.00,0,8.37,3,0.00,0,6025.23,1748,0.00,0
Saiha,0.00,0,6377.69,966,0.00,0,12.00,1,0.46,1,6390.15,968,0.00,0
Saitual,0.00,0,4846.74,1394,0.00,0,0.00,0,0.00,0,4846.74,1394,0.00,0
Serchhip,9.00,2,9323.74,2337,0.00,0,2.00,1,14.50,1,9349.24,2341,0.00,0
