district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Aizawl,41475.45,196.58,673696.31,60.95,,44.78,68051.04,0.00,1504558.26,45.49,715368.34,1572609.30
Champhai,5976.99,36444.70,379.94,55.00,57.27,,10866.31,63634.48,0.00,57.45,42801.63,74500.79
Hnahthial,12970.25,0.00,0.00,65.84,,,19699.38,0.00,0.00,65.84,12970.25,19699.38
Khawzawl,7773.80,9589.16,0.00,68.63,96.30,,11327.26,9957.33,0.00,81.58,17362.96,21284.59
Kolasib,13449.95,40474.12,307.71,60.28,63.21,,22313.56,64031.53,0.00,62.81,54231.78,86345.09
Lawngtlai,28510.93,37147.93,0.00,152.19,104.43,,18734.34,35571.39,0.00,120.91,65658.86,54305.73
Lunglei,8556.44,73933.81,9149.27,58.42,71.67,67.48,14645.72,103163.41,13559.07,69.76,91639.52,131368.20
Mamit,26627.86,0.00,0.00,72.82,,,36565.92,0.00,0.00,72.82,26627.86,36565.92
Saiha,4750.10,38187.87,0.00,160.68,91.43,,2956.34,41768.61,0.00,96.00,42937.97,44724.95
Saitual,10044.49,8963.40,0.00,58.29,64.03,,17230.63,13998.82,0.00,60.87,19007.89,31229.45
Serchhip,22812.71,21080.30,0.00,70.03,75.61,,32577.66,27879.48,0.00,72.60,43893.01,60457.14
