district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Aizawl,149125,2083,38,46537,2430
Champhai,17282,314,8,8416,310
Hnahthial,4390,61,8,4163,119
Khawzawl,5815,107,1,7088,245
Kolasib,21258,195,4,10851,378
Lawngtlai,27447,159,19,20112,320
Lunglei,29103,507,15,24217,560
Mamit,8389,62,4,14579,412
Saiha,14557,312,10,10390,470
Saitual,5121,61,1,7380,423
Serchhip,8574,171,1,11432,539
