district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Aizawl,425447,148035,594581
Champhai,63621,14066,90120
Hnahthial,20617,3928,26169
Khawzawl,29803,3122,38246
Kolasib,77034,15634,107130
Lawngtlai,89533,21008,126176
Lunglei,99219,24942,141559
Mamit,62747,7419,81361
Saiha,51240,11667,71970
Saitual,39411,4657,48798
Serchhip,56392,6363,73863
