district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,2263.40,286,2583.89,312,647.30,204,13.96,4635.75,955
Champhai,113.41,28,161.08,28,25.50,17,4.09,624.02,165
Hnahthial,0.00,0,0.00,0,0.00,0,0.00,139.92,36
Khawzawl,74.14,13,74.14,13,4.06,3,1.23,329.99,73
Kolasib,281.40,28,285.97,25,153.55,37,17.56,874.29,170
Lawngtlai,23.56,14,42.83,14,40.12,21,18.02,222.62,114
Lunglei,416.63,75,448.56,75,80.33,37,5.66,1418.86,415
Mamit,9.54,5,9.54,5,38.38,20,12.81,299.52,105
Saiha,81.00,16,81.00,16,24.20,11,11.36,212.95,62
Saitual,145.43,16,149.78,16,64.66,14,13.08,494.40,106
Serchhip,346.66,46,359.36,45,56.42,23,8.02,703.54,215
