district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Aizawl,630.32,237,151,407.06,5.47,21.67,15,1.92,1128.38,624,279.58,124,17
Champhai,631.70,108,46,264.50,0.22,86.05,30,4.81,1790.47,491,352.72,63,5
Hnahthial,138.00,65,35,77.50,0.01,0.12,1,0.07,172.19,95,89.57,46,2
Khawzawl,195.00,58,19,60.00,0.00,17.76,12,4.65,382.22,200,135.03,43,0
Kolasib,431.50,120,66,238.30,0.00,128.38,67,13.45,954.49,361,206.41,64,0
Lawngtlai,232.40,87,27,83.00,0.00,9.85,10,2.39,412.25,241,178.46,86,11
Lunglei,135.00,77,44,80.20,1.64,4.20,6,1.55,271.25,230,71.59,62,19
Mamit,532.70,132,46,192.90,0.75,26.41,17,2.33,1132.25,476,388.47,112,9
Saiha,346.20,86,49,209.50,1.76,61.60,29,8.10,760.90,290,129.48,42,5
Saitual,265.50,65,28,110.00,15.98,6.72,6,1.17,573.30,228,204.48,55,12
Serchhip,478.00,97,72,327.00,3.08,24.37,15,2.03,1199.26,388,227.48,62,12
