district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,626.10,240,9.23,105,13.34,7,1.54,868.40,539
Champhai,623.60,106,55.73,107,97.75,34,5.68,1719.84,472
Hnahthial,138.00,65,1.91,17,0.00,0,0.00,170.99,93
Khawzawl,204.00,59,9.56,17,17.67,11,4.54,388.95,193
Kolasib,428.34,121,70.68,65,131.43,64,14.45,909.38,347
Lawngtlai,259.66,106,14.56,41,12.07,13,2.72,444.08,262
Lunglei,135.00,77,17.08,51,2.56,4,1.03,249.18,217
Mamit,529.70,131,140.03,91,23.05,15,2.09,1102.40,442
Saiha,358.24,91,101.13,52,75.67,36,9.69,780.61,300
Saitual,302.91,79,13.72,29,5.95,4,0.84,704.60,269
Serchhip,485.01,103,31.75,104,32.51,21,2.68,1213.82,396
