District,cd_ratio
Alluri Sitharama Raju,115.0
Anakapalli,151.0
Anantapur,149.0
Annamayya,140.0
Bapatla,179.0
Chittoor,109.0
East Godavari,158.0
Eluru,170.0
Guntur,123.0
Kakinada,132.0
Konaseema,171.0
Krishna,182.0
Kurnool,145.0
Nandyal,175.0
Ntr,235.0
Palnadu,186.0
Parvathipuram Manyam,152.0
Prakasam,190.0
Spsr Nellore,159.0
Sri Sathya Sai,150.0
Srikakulam,133.0
Tirupati,81.0
Visakhapatanam,123.0
Vizianagaram,140.0
West Godavari,179.0
Y.s.r.,157.0
