district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5710.79,2249.74,39.3945,5741.8,5133.77,-31.01,-0.5401,1975.08,2058.84,274.66,13.9063,34.3983,40.1039,60
Baloda Bazar,6359.21,3884.75,61.0886,6327.84,5561.74,31.37,0.4957,3477.27,3513.44,407.48,11.7184,54.9519,63.1716,60
Balrampur,3125.65,1320.44,42.2453,3017.4,2587.51,108.25,3.5875,1131.72,1149.81,188.72,16.6755,37.5065,44.4369,60
Bastar,6735.5,4475.02,66.4393,6416.79,6172.58,318.71,4.9668,3963.58,3640.09,511.44,12.9035,61.7689,58.9719,60
Bemetara,4419.59,2428.72,54.9535,4609.83,3829,-190.24,-4.1268,2039.72,2240.63,389.0,19.0712,44.2472,58.5174,60
Bijapur,1135.44,722.9,63.6669,1160.39,996.87,-24.95,-2.1501,602.23,608.42,120.67,20.0372,51.8989,61.033,60
Bilaspur,29062.78,18305.51,62.9861,29581.04,27986.3,-518.26,-1.752,17136.05,16566.06,1169.46,6.8246,57.9292,59.1935,60
Dantewada,2884.52,3018.36,104.6399,2507.71,2481.98,376.81,15.0261,2529.81,2575.74,488.55,19.3117,100.8813,103.7776,60
Dhamtari,5847.12,3746.32,64.0712,5919.03,5410.45,-71.91,-1.2149,3341.34,3306.24,404.98,12.1203,56.4508,61.1084,60
Durg,34806.27,20994.58,60.3184,33825.16,32602.41,981.11,2.9005,19447.94,19258.65,1546.64,7.9527,57.4955,59.0712,60
Gariaband,2454.09,1428.28,58.2,2489.4,2046.82,-35.31,-1.4184,1237.56,1249.05,190.72,15.411,49.7132,61.0239,60
Gaurela-Pendra-Marwahi,1502.06,832,55.3906,1465.94,1297.96,36.12,2.4639,720,691.28,112,15.5556,49.1152,53.259,60
Janjgir-Champa,7004.14,3908.64,55.8047,7148.59,6330.13,-144.45,-2.0207,3457.48,3412.48,451.16,13.0488,48.3659,53.9085,60
Jashpur,4483.58,2272.09,50.6758,4348,3764.67,135.58,3.1182,2013.05,1830.62,259.04,12.868,46.2983,48.6263,60
Kabirdham,3518.12,2706.86,76.9405,3513.43,2994.22,4.69,0.1335,2205.3,2433.66,501.56,22.7434,62.7677,81.2786,60
Kanker,4390.28,2701.81,61.5407,4368.94,3965.31,21.34,0.4884,2382.63,2360.44,319.18,13.3961,54.5357,59.5273,60
Khairagarh-Chhuikhadan-Gandai,1691.57,965.25,57.0624,1731.12,1516.14,-39.55,-2.2846,758.51,863.02,206.74,27.2561,43.8161,56.9222,60
Kondagaon,2477.4,1589.37,64.1548,2453.76,2212.02,23.64,0.9634,1430,1444.17,159.37,11.1448,58.2779,65.2874,60
Korba,12332.99,8082.73,65.5375,11875.01,11423.6,457.98,3.8567,7259.79,7023.7,822.94,11.3356,61.135,61.4841,60
Korea,2331.76,1799.81,77.1868,2291.25,2150.39,40.51,1.768,1870.82,1894.24,-71.01,-3.7957,81.6506,88.0882,60
Mahasamund,5635.33,4403.57,78.1422,5834.01,4995.47,-198.68,-3.4055,3846.83,3898.31,556.74,14.4727,65.938,78.0369,60
Manendragarh-Chirmiri-Bharatpur,3776.8,1263.04,33.4421,3822.8,3608.7,-46,-1.2033,1156.08,1154.02,106.96,9.252,30.2417,31.9788,60
Mohla-Manpur-Ambagarh Chowki,1161.21,411.15,35.407,1202.19,1015.68,-40.98,-3.4088,313.57,356.05,97.58,31.119,26.0832,35.0553,60
Mungeli,2509.64,1573.71,62.7066,2639.44,2242.93,-129.8,-4.9177,1329.01,1366.28,244.7,18.4122,50.352,60.915,60
Narayanpur,869.4,427.66,49.1902,807.16,772.72,62.24,7.711,379.08,370.7,48.58,12.8152,46.9647,47.9734,60
Raigarh,10885.08,9394.79,86.3089,10547.78,9856.28,337.3,3.1978,7999.4,7942.3,1395.39,17.4437,75.8397,80.5811,60
Raipur,90612.26,109027.33,120.3229,88212.54,80957.19,2399.72,2.7204,95039.92,93178.72,13987.41,14.7174,107.7397,115.0963,60
Rajnandgaon,8826.2,5387.72,61.0424,8476.28,8092.49,349.92,4.1282,4645.01,4592.35,742.71,15.9894,54.8001,56.7483,60
Sakti,3035.28,1611.31,53.086,3322.74,2771.3,-287.46,-8.6513,1364.57,1416.21,246.74,18.0819,41.0676,51.1027,60
Sarangarh-Bilaigarh,2359.55,1334.76,56.5684,2493.2,2144.77,-133.65,-5.3606,1120.19,1152.27,214.57,19.1548,44.9298,53.7246,60
Sukma,1200.43,576.46,48.0211,1151.35,1068.09,49.08,4.2628,479.36,471.2,97.1,20.2562,41.6346,44.1161,60
Surajpur,5201.67,2021.28,38.8583,4975.53,4588.93,226.14,4.545,1770.43,1778.02,250.85,14.1689,35.5827,38.7459,60
Surguja,8958.99,4399.94,49.112,8672.09,7765.52,286.9,3.3083,3989.83,3898.09,410.11,10.2789,46.0077,50.1974,60
