district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1901.21,804.18,42.2983,399.99,329.92,82.4821,96.98,35.1352,36.2293,2398.18,1169.2352,48.7551
Baloda Bazar,2822.8,1572.46,55.7057,680.34,528.51,77.6832,129.81,81.2682,62.6055,3632.95,2182.2382,60.0679
Balrampur,540.6,271.46,50.2146,176.56,224.61,127.2145,47.26,19.2805,40.7967,764.42,515.3505,67.4172
Bastar,1142.58,590.64,51.6935,784.61,669.62,85.3443,75.99,44.323,58.3275,2003.18,1304.583,65.1256
Bemetara,3005.76,1201.21,39.9636,266.76,254.52,95.4116,48.19,20.8852,43.3393,3320.71,1476.6152,44.4669
Bijapur,246.24,112.91,45.8536,34.63,38.13,110.1068,26.91,3.3528,12.4594,307.78,154.3928,50.1634
Bilaspur,2430.54,1325.82,54.5484,4880.8,3998.76,81.9284,369.44,196.7248,53.2495,7680.78,5521.3048,71.8847
Dantewada,103.09,45.35,43.9907,113.33,86.09,75.964,13.26,10.6219,80.1045,229.68,142.0619,61.8521
Dhamtari,1682.77,1360.51,80.8494,570.85,588.92,103.1655,108.28,85.1597,78.6477,2361.9,2034.5897,86.1421
Durg,2695.36,1726.59,64.0579,5005.27,5441.88,108.723,370.48,227.5348,61.4162,8071.11,7396.0048,91.6355
Gariaband,742.5,522.98,70.435,170,130.07,76.5118,93.04,13.3703,14.3705,1005.54,666.4203,66.2749
Gaurela-Pendra-Marwahi,338.72,174.77,51.5972,176.95,138.97,78.5363,28.92,13.8125,47.7609,544.59,327.5525,60.1466
Janjgir-Champa,1485.6,699.04,47.0544,740.98,681.22,91.935,151.14,59.4287,39.3203,2377.72,1439.6887,60.5491
Jashpur,596.08,322.52,54.1068,473.31,366.58,77.4503,64.29,29.6795,46.1651,1133.68,718.7795,63.4023
Kabirdham,2250.02,1042.48,46.332,440.73,352.23,79.9197,198.24,131.5918,66.38,2888.99,1526.3018,52.8317
Kanker,1621.12,702.86,43.3564,437.63,322.98,73.8021,57.31,27.2921,47.622,2116.06,1053.1322,49.7685
Khairagarh-Chhuikhadan-Gandai,1325.71,569.2,42.9355,78.36,59.14,75.4722,108.24,71.29,65.8629,1512.31,699.63,46.2623
Kondagaon,494.96,387.67,78.3235,251.68,162.63,64.6178,39.9,27.7778,69.6185,786.54,578.0778,73.4963
Korba,723.05,342.68,47.3937,1948.2,1506.23,77.3139,172.88,79.8417,46.1833,2844.13,1928.7517,67.8152
Korea,194.63,110.61,56.8309,128.81,141.63,109.9526,24.72,13.3766,54.1126,348.16,265.6166,76.2915
Mahasamund,2506.47,1454.39,58.0254,470.45,436.15,92.7091,74.03,43.1445,58.2797,3050.95,1933.6845,63.3797
Manendragarh-Chirmiri-Bharatpur,232.18,175.45,75.5664,203.87,206.53,101.3048,23.79,12.482,52.4672,459.84,394.462,85.7824
Mohla-Manpur-Ambagarh Chowki,224.43,186.29,83.0058,33.72,35.13,104.1815,45.02,39.5269,87.7984,303.17,260.9469,86.0728
Mungeli,1141.1,461.66,40.4575,230.97,202.48,87.6651,38.15,18.7071,49.0357,1410.22,682.8471,48.4213
Narayanpur,124.24,58.1,46.7643,53.17,31.38,59.0182,18.78,6.6937,35.6426,196.19,96.1737,49.0207
Raigarh,1333.33,761.33,57.0999,2468.15,2132.62,86.4056,133.3,67.177,50.3954,3934.78,2961.127,75.2552
Raipur,3869.01,4281.69,110.6663,24354.93,22074.75,90.6377,3326,2726.7486,81.9828,31549.94,29083.1886,92.1814
Rajnandgaon,2743.52,1351.21,49.251,999.97,923.72,92.3748,316.02,183.0629,57.9276,4059.51,2457.9929,60.549
Sakti,998.16,435.23,43.6032,423.88,365.33,86.1871,85.59,29.2393,34.1621,1507.63,829.7993,55.04
Sarangarh-Bilaigarh,608.35,457.84,75.2593,159.47,165.23,103.612,19.56,14.7436,75.3763,787.38,637.8136,81.0045
Sukma,132.25,73.46,55.5463,43,36.01,83.7442,8.55,5.7501,67.2525,183.8,115.2201,62.6878
Surajpur,660.29,393.7,59.6253,372.21,342.38,91.9857,58.7,25.2363,42.9919,1091.2,761.3163,69.7687
Surguja,910.18,571.38,62.7766,1140.77,1074.52,94.1925,108.1,46.2041,42.742,2159.05,1692.1041,78.3726
