district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,112,74,37,1,69,69,5,7.2464,37,37,0,0,1,1,0,0,107,107,5,4.6729
Baloda Bazar,112,49,63,0,49,49,0,0,64,64,-1,-1.5625,0,0,0,,113,113,-1,-0.885
Balrampur,74,61,12,1,60,59,1,1.6667,12,12,0,0,1,1,0,0,73,72,1,1.3699
Bastar,118,74,4,40,74,74,0,0,4,4,0,0,39,39,1,2.5641,117,117,1,0.8547
Bemetara,87,60,26,1,54,53,6,11.1111,27,26,-1,-3.7037,1,1,0,0,82,80,5,6.0976
Bijapur,47,39,8,0,38,37,1,2.6316,8,9,0,0,0,0,0,,46,46,1,2.1739
Bilaspur,263,69,37,157,69,70,0,0,40,42,-3,-7.5,150,145,7,4.6667,259,257,4,1.5444
Dantewada,44,22,22,0,22,21,0,0,21,22,1,4.7619,0,0,0,,43,43,1,2.3256
Dhamtari,112,55,21,36,54,54,1,1.8519,22,22,-1,-4.5455,37,37,-1,-2.7027,113,113,-1,-0.885
Durg,303,77,40,186,76,76,1,1.3158,40,40,0,0,187,185,-1,-0.5348,303,301,0,0
Gariaband,66,38,28,0,36,34,2,5.5556,26,26,2,7.6923,0,0,0,,62,60,4,6.4516
Gaurela-Pendra-Marwahi,28,9,19,0,9,9,0,0,16,17,3,18.75,0,0,0,,25,26,3,12
Janjgir-Champa,120,60,58,2,59,58,1,1.6949,58,58,0,0,2,2,0,0,119,118,1,0.8403
Jashpur,91,46,43,2,41,42,5,12.1951,43,43,0,0,2,1,0,0,86,86,5,5.814
Kabirdham,84,46,36,2,43,42,3,6.9767,38,38,-2,-5.2632,2,2,0,0,83,82,1,1.2048
Kanker,102,61,40,1,61,61,0,0,39,39,1,2.5641,1,1,0,0,101,101,1,0.9901
Khairagarh-Chhuikhadan-Gandai,39,21,16,2,21,21,0,0,16,16,0,0,2,2,0,0,39,39,0,0
Kondagaon,56,28,27,1,27,27,1,3.7037,27,27,0,0,1,1,0,0,55,55,1,1.8182
Korba,134,44,28,62,44,43,0,0,28,28,0,0,61,61,1,1.6393,133,132,1,0.7519
Korea,35,14,20,1,14,14,0,0,22,22,-2,-9.0909,1,1,0,0,37,37,-2,-5.4054
Mahasamund,130,59,70,1,52,52,7,13.4615,72,72,-2,-2.7778,1,1,0,0,125,125,5,4
Manendragarh-Chirmiri-Bharatpur,56,26,29,1,26,26,0,0,28,28,1,3.5714,1,1,0,0,55,55,1,1.8182
Mohla-Manpur-Ambagarh Chowki,32,30,1,1,29,28,1,3.4483,1,1,0,0,1,1,0,0,31,30,1,3.2258
Mungeli,52,23,28,1,23,23,0,0,28,28,0,0,1,1,0,0,52,52,0,0
Narayanpur,21,7,14,0,7,7,0,0,13,13,1,7.6923,0,0,0,,20,20,1,5
Raigarh,149,65,28,56,65,64,0,0,27,27,1,3.7037,55,54,1,1.8182,147,145,2,1.3605
Raipur,544,106,67,371,104,104,2,1.9231,67,67,0,0,361,358,10,2.7701,532,529,12,2.2556
Rajnandgaon,130,54,24,52,51,48,3,5.8824,22,22,2,9.0909,54,54,-2,-3.7037,127,124,3,2.3622
Sakti,55,33,22,0,32,32,1,3.125,21,21,1,4.7619,0,0,0,,53,53,2,3.7736
Sarangarh-Bilaigarh,51,32,19,0,31,31,1,3.2258,18,17,1,5.5556,0,0,0,,49,48,2,4.0816
Sukma,33,27,6,0,27,26,0,0,6,6,0,0,0,0,0,,33,32,0,0
Surajpur,90,61,26,3,59,59,2,3.3898,26,26,0,0,3,3,0,0,88,88,2,2.2727
Surguja,103,57,3,43,57,57,0,0,3,3,0,0,44,44,-1,-2.2727,104,104,-1,-0.9615
