district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,91,42,48,1,38,41,4,10.5263,48,50,0,0,1,1,0,0,87,92,4,4.5977
Baloda Bazar,97,25,70,2,23,24,2,8.6957,69,70,1,1.4493,2,2,0,0,94,96,3,3.1915
Balrampur,44,25,18,1,19,18,6,31.5789,18,17,0,0,2,2,-1,-50,39,37,5,12.8205
Bastar,128,37,3,88,34,25,3,8.8235,3,4,0,0,86,83,2,2.3256,123,112,5,4.065
Bemetara,55,24,30,1,24,26,0,0,32,33,-2,-6.25,1,1,0,0,57,60,-2,-3.5088
Bijapur,24,13,11,0,11,9,2,18.1818,11,11,0,0,0,0,0,,22,20,2,9.0909
Bilaspur,318,23,33,262,29,28,-6,-20.6897,37,36,-4,-10.8108,251,259,11,4.3825,317,323,1,0.3155
Dantewada,50,9,41,0,8,6,1,12.5,44,45,-3,-6.8182,0,0,0,,52,51,-2,-3.8462
Dhamtari,87,26,18,43,26,23,0,0,20,26,-2,-10,43,45,0,0,89,94,-2,-2.2472
Durg,457,52,35,370,50,50,2,4,33,30,2,6.0606,376,384,-6,-1.5957,459,464,-2,-0.4357
Gariaband,51,25,25,1,25,25,0,0,25,24,0,0,1,1,0,0,51,50,0,0
Gaurela-Pendra-Marwahi,27,1,25,1,1,1,0,0,24,22,1,4.1667,1,1,0,0,26,24,1,3.8462
Janjgir-Champa,117,36,79,2,35,37,1,2.8571,78,77,1,1.2821,2,1,0,0,115,115,2,1.7391
Jashpur,64,11,48,5,11,11,0,0,47,47,1,2.1277,5,2,0,0,63,60,1,1.5873
Kabirdham,71,18,52,1,18,18,0,0,52,55,0,0,1,1,0,0,71,74,0,0
Kanker,77,28,48,1,28,28,0,0,49,52,-1,-2.0408,1,1,0,0,78,81,-1,-1.2821
Khairagarh-Chhuikhadan-Gandai,26,10,14,2,8,9,2,25,15,15,-1,-6.6667,2,2,0,0,25,26,1,4
Kondagaon,51,10,39,2,9,7,1,11.1111,36,35,3,8.3333,2,2,0,0,47,44,4,8.5106
Korba,173,26,22,125,22,23,4,18.1818,23,22,-1,-4.3478,131,129,-6,-4.5802,176,174,-3,-1.7045
Korea,45,4,40,1,3,3,1,33.3333,39,39,1,2.5641,2,2,-1,-50,44,44,1,2.2727
Mahasamund,106,39,67,0,33,32,6,18.1818,65,66,2,3.0769,0,0,0,,98,98,8,8.1633
Manendragarh-Chirmiri-Bharatpur,36,10,25,1,8,9,2,25,26,26,-1,-3.8462,2,2,-1,-50,36,37,0,0
Mohla-Manpur-Ambagarh Chowki,17,15,1,1,15,17,0,0,1,1,0,0,1,0,0,0,17,18,0,0
Mungeli,44,10,32,2,9,6,1,11.1111,31,29,1,3.2258,2,8,0,0,42,43,2,4.7619
Narayanpur,21,1,20,0,1,1,0,0,20,20,0,0,0,0,0,,21,21,0,0
Raigarh,160,31,39,90,31,30,0,0,40,39,-1,-2.5,91,93,-1,-1.0989,162,162,-2,-1.2346
Raipur,794,90,60,644,87,87,3,3.4483,64,67,-4,-6.25,643,630,1,0.1555,794,784,0,0
Rajnandgaon,134,24,17,93,22,20,2,9.0909,16,19,1,6.25,94,89,-1,-1.0638,132,128,2,1.5152
Sakti,46,19,27,0,20,19,-1,-5,22,24,5,22.7273,0,1,0,,42,44,4,9.5238
Sarangarh-Bilaigarh,46,14,31,1,15,15,-1,-6.6667,29,28,2,6.8966,1,1,0,0,45,44,1,2.2222
Sukma,15,7,8,0,7,7,0,0,9,9,-1,-11.1111,0,0,0,,16,16,-1,-6.25
Surajpur,59,20,37,2,16,16,4,25,38,40,-1,-2.6316,2,2,0,0,56,58,3,5.3571
Surguja,114,28,3,83,28,26,0,0,2,2,1,50,81,82,2,2.4691,111,110,3,2.7027
