District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
East Garo Hills,96,248.95,301,404.78
East Jaintia Hills,0,0,1,2
East Khasi Hills,30,35.3,8512,2508.48
Eastern West Khasi Hills,2,2.05,32,10.95
North Garo Hills,0,0,87,93.54
Ri Bhoi,962,376.4,3292,809.11
South Garo Hills,0,0,21,6.89
South West Garo Hills,78,122.23,299,232.65
South West Khasi Hills,1,1,4,1.93
West Garo Hills,1663,1312.25,5092,2227.76
West Jaintia Hills,31,59.89,301,247.29
West Khasi Hills,1,2.65,69,128.13
