district,Tot NPA MSME Amt. (PS),Tot MSME No. (PS) NPA,MSME Other Amt,No MSME Other,KVIC Amt,KVIC No,Medium Amt,No Medium,Small Amt,Small No,Micro Amt,Micro No
East Garo Hills,722.13,1022,7.74,4,11.88,12,0,0,0,0,702.51,1006
East Jaintia Hills,801.67,200,1.35,3,7.03,3,0,0,91.61,9,701.68,185
East Khasi Hills,11937.51,4009,5.95,11,177.28,67,1837.87,5,955.53,108,8960.88,3818
North Garo Hills,553.23,771,0.99,1,0,0,0,0,5.8,1,546.44,769
Ri Bhoi,1140,848,15.16,30,58.61,42,0,0,45.05,6,1021.18,770
South Garo Hills,510.8,547,4.68,1,17.27,13,0,0,0,0,488.85,533
West Garo Hills,2680.71,2371,18.85,11,49.98,22,0,0,151.67,13,2460.21,2325
West Jaintia Hills,2205.49,891,7.03,17,20.93,15,0,0,321.26,33,1856.27,826
West Khasi Hills,907.02,440,3.16,4,6.86,5,0,0,12.49,2,884.51,429
