District,Total Minority Disbursement Amt,Total Minority Disbursement No.,Jains Amt,Jains No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,778.61,298,1,1,0.1,3,23.01,2,467.52,179,286.98,113
East Jaintia Hills,4686.03,1376,250,1,0,0,0,0,483.29,74,3952.74,1301
East Khasi Hills,41910.06,16081,90.3,10,1797.12,323,183.91,70,3580.87,661,36257.86,15017
North Garo Hills,389.68,166,0,0,0,0,0.78,1,144.4,27,244.5,138
Ri Bhoi,18579.81,5338,8.23,2,2412.16,13,57.13,6,10231.42,628,5870.87,4689
South Garo Hills,198.49,87,0,1,0.5,1,0,0,1.15,5,196.84,80
West Garo Hills,26252.35,3446,3.54,1,14.35,4,0.27,2,4412.13,1130,21822.06,2309
West Jaintia Hills,7383.72,2672,0,0,4.07,1,0,0,46.07,12,7333.58,2659
West Khasi Hills,3375.26,1901,0,0,0.39,1,3.33,4,96.71,86,3274.83,1810
