district,Total Disb Amt. MUDRA,Total Disb No. MUDRA,Tarun Amt,Tarun No,Kishore Amt,Kishore no,Sishu amt,Sishu No
East Garo Hills,765.35,277,410.34,57,302.86,139,52.15,81
East Jaintia Hills,1547.46,418,957.49,115,537.68,211,52.29,92
East Khasi Hills,13737.51,10979,4426.56,604,7618.34,5732,1692.61,4643
Eastern West Khasi Hills,399.93,131,203.43,26,182.73,72,13.77,33
North Garo Hills,787.22,344,296.32,38,464.34,195,26.56,111
Ri Bhoi,3635.76,2930,1090.88,138,1920.68,1201,624.2,1591
South Garo Hills,362.83,124,198.45,24,156.33,66,8.05,34
South West Garo Hills,465.02,153,205.4,28,243.98,89,15.64,36
South West Khasi Hills,180.77,74,68.74,9,109.03,57,3,8
West Garo Hills,4293.76,2574,2337.13,302,1307.62,530,649.01,1742
West Jaintia Hills,2572.08,1299,1158.81,161,1249.62,720,163.65,418
West Khasi Hills,887.51,387,338.52,46,491.97,262,57.02,79
