District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
East Garo Hills,38984,2031,21335,90783,26241,7197,60363,10712
East Jaintia Hills,73591,2628,32335,119678,41774,18255,96830,29189
East Khasi Hills,365566,21822,162965,896292,221939,81330,669057,121805
Eastern West Khasi Hills,44199,1279,17786,86639,25149,10673,68812,17771
North Garo Hills,70899,10296,35425,117637,43139,12198,70616,17464
Ri Bhoi,147423,5731,54914,229550,87257,24814,172352,54435
South Garo Hills,27631,1887,12873,72760,17595,4249,47900,8149
South West Garo Hills,82063,4358,44989,105742,57370,12344,60912,20335
South West Khasi Hills,26961,643,13289,64241,17158,4712,48612,9160
West Garo Hills,221300,15909,129083,437458,149543,43292,278424,55848
West Jaintia Hills,112409,3587,50165,251633,67429,26537,199207,41393
West Khasi Hills,62908,1642,21507,125307,37023,11173,99505,24243
