district,(Rs. KCC Lakhs) in Amount Active Total Fishries for,of KCC Total KCC tion) Incep- (Since ifshries for Active no. Fishries for,(Rs. the KCC No KCC Lakhs) in Amount quarter During newed Re- of Fishries for,end as KCC no. quarter current of on ifshries for of Total,(Rs. KCC Lakhs) in quarter during bursed dis- Amount KCC New Fishries for,KCC No. quarter during issued ifshries for New of,(Rs. KCC Lakhs) in Amount Active Total bandary Hus- Animal for,for Total Active KCC Inception) (Since bandary hus- animal KCC no. of bandary Hus- Animal for,of as (Rs. on Out- hus- KCC Lakhs) in quarter current end amount. Renewal standing bandary animal for,quarter current end of as on bandary hus- animal KCC for Renewal No,(Rs. KCC Lakhs) in quarter during disbursed Amount bandary Hus- Animal for,KCC No. quarter during issued bandary hus- animal for New of,Kcc (Rs. Lakhs) in Amount Active Total Crops,no. Out tion) Incep- (Since KCC Crops Active of total of,Lakhs). (Rs. in quarter the During Amount Renewed KCC Crops,No quarter the During newed Re- KCC Crop of,(Rs. Lakhs) in quarter during bursed dis- Amount KCC Crop New,ter quar- during issued KCC New No. of
East Garo Hills,0,0,0,0,0,0,8.04,14,0,0,0,0,2106.74,2801,0,49,186.15,201
East Jaintia Hills,7.65,26,0,0,0,0,64.26,122,0.7,1,4.67,7,959.52,1561,0,14,125.76,171
East Khasi Hills,1.59,4,0,0,0,0,242.55,300,72.17,61,51.51,31,16489.1,22618,0.9,567,1650.46,1843
North Garo Hills,1.08,4,0,0,0,0,1.78,3,0,0,0,0,2944.8,3768,0,74,302.16,366
Ri Bhoi,4.37,19,0.67,1,0,0,84.15,111,9.66,12,4.78,6,22133.56,29781,0,579,918.62,1175
South Garo Hills,0.4,1,0,0,0,0,11.95,39,0,0,0,0,833.73,1251,0,18,88.81,102
West Garo Hills,5.45,11,0.46,2,0,0,18.82,39,3.1,4,2.03,0,4938.86,7198,0,117,284.85,328
West Jaintia Hills,1.65,5,0.22,1,0,0,50.93,44,1,1,3,3,4014.15,4832,2.6,225,380.55,426
West Khasi Hills,13.48,36,0.4,1,0,0,40.82,70,0,0,1.7,2,4409.39,6997,0,37,245.62,313
