district,quarterly_report_sr_n_o,quarterly_report_no_of_rural_branches_in_the_district,quarterly_report_no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_materials_of_rbi_in_the_quarter,quarterly_report_no_of_literacy_camps_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,quarterly_report_no_of_persons_participated,quarterly_report_out_of_persons_participated_no_of_persons_already_having_bank_a_c_at_the_time_of_attending_the_camp,quarterly_report_out_of_persons_participated_no_of_persons_opened_bank_a_c_after_attending_the_camp
Dhalai,6,34,35,87,1203,1017,45
Gomati,4,35,34,94,1415,1023,256
Khowai,3,25,25,61,1014,855,145
North Tripura,7,29,24,77,846,716,91
Sepahijala,2,35,31,92,1236,1023,232
South Tripura,5,37,31,98,1142,925,365
Unakoti,8,22,23,60,654,514,74
West Tripura,1,52,52,139,2698,1845,412
