district,nerlp_rs_in_lakhs_deposit_linkage_no_of,nerlp_rs_in_lakhs_deposit_linkage_amt,nerlp_rs_in_lakhs_capacity_building_no_amt,nerlp_rs_in_lakhs_rf_credit_linked_no,nerlp_rs_in_lakhs_rf_credit_linked_amt,nerlp_rs_in_lakhs_no_of_federations_amt
Khowai,2772,4285.58,728,7,7,104
North Tripura,3900,402.33,6081,3508,3975,146
Sepahijala,3760,439.17,643,3459,691.8,136
Unakoti,2671,301.4,2415,25,25.5,86
West Tripura,4704,1113,7560,4483,5045,173
