district,CD RATIO March’2018,CD RATIO June’2018,CD RATIO Since March’2018
Dhalai,66,74,+8
Gomati,93,64,(-)29
Khowai,69,69,No change
North Tripura,49,57,+8
Sepahijala,67,73,+6
South Tripura,50,60,+10
Unakoti,59,67,+8
West Tripura,36,38,+2
