District,S.No.,Block,Date of Camp
Dhalai,40.,Ganganagar,04.05.2018
Gomati,19.,Ompi,30.04.2018
Khowai,34.,Teliamura,01.05.2018
North Tripura,52.,Dasda,03.05.2018
Sepahijala,11.,Nalchar,04.05.2018
South Tripura,26.,Bakafa,05.05.2018
Unakoti,48.,Pecharthal,03.05.2018
West Tripura,1.,Jirania,29.03.2018
