District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
East Garo Hills,6206,10183.09,1507,3008.01
East Jaintia Hills,2435,7040.15,819,2685.11
East Khasi Hills,72612,188178.31,25025,60959.53
Eastern West Khasi Hills,6441,7005.38,1250,1447.11
North Garo Hills,3663,7018.07,656,1820.13
Ri Bhoi,28166,46942.65,11133,14892.37
South Garo Hills,1629,5112.9,351,1322.49
South West Garo Hills,4479,6511.6,832,1388.77
South West Khasi Hills,2543,4235.28,568,1175.2
West Garo Hills,20725,43798.88,12214,16463.55
West Jaintia Hills,10984,23005.32,3232,6970.84
West Khasi Hills,5547,8413.14,1038,1976.51
