District,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
East Garo Hills,0,0,364.7,838,14.54,16,434.28,1587,17.89,43,779.81,1857
East Jaintia Hills,277.45,17,653.29,259,27.91,17,148.34,398,38.98,56,40.6,63
East Khasi Hills,1776.05,232,7304.99,3300,309.55,110,1179.5,913,232.23,471,2454.63,4867
Eastern West Khasi Hills,0,0,158.21,137,3.92,3,44.73,95,35.72,88,384.33,1041
North Garo Hills,0,0,412.17,593,32.17,20,510.89,1699,0.17,2,1240.29,2773
Ri Bhoi,1393.58,21,883.23,758,162.39,262,489.1,1826,158.11,522,7824.6,13574
South Garo Hills,0,0,355.84,413,36.49,46,515.29,1283,39.19,76,307.69,942
South West Garo Hills,0,2,379.69,344,6.28,8,585.72,2123,9.45,46,1222.83,3105
South West Khasi Hills,3.51,2,121.04,79,2.68,1,94.89,130,17.03,15,109.72,266
West Garo Hills,610.76,254,1912.57,1990,84.53,72,742.33,3012,154.29,403,2098.85,4958
West Jaintia Hills,793.1,103,1396.83,751,139.19,91,153.94,312,21.21,33,847.19,1578
West Khasi Hills,21.99,3,640.2,396,13.45,3,95.85,452,27.51,49,1771.32,2994
