District,Total Other PS O/S Amt,Total Other PS O/S No.,Other Amt. PS,No. Other PS,Renewable Amt,No. Renewable,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,946.66,1628,340.66,1510,0,0,17.68,6,478.86,74,109.46,38
East Khasi Hills,47459.24,19750,6547.61,14543,1.23,1,108.17,33,30739.95,3020,10062.28,2153
Ri Bhoi,10033.02,3143,584.65,2048,359.65,1,13.23,6,8269.98,778,805.51,310
West Garo Hills,6714.42,4120,945.59,3132,0,0,79.37,20,5020.88,716,668.58,252
West Khasi Hills,1491.31,280,65.47,14,0,0,2.61,1,1141.84,140,281.39,125
