district,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
East Garo Hills,130,264.85,297,392.71
East Jaintia Hills,0,0,2,3.33
East Khasi Hills,363,566.3,9113,4081.94
Eastern West Khasi Hills,4,4.43,66,32.98
North Garo Hills,0,0,87,93.55
Ri Bhoi,2287,842.8,2372,687.71
South Garo Hills,0,0,21,7.05
South West Garo Hills,72,127.8,247,199.62
South West Khasi Hills,0,0,4,1.97
West Garo Hills,3024,1753.44,3308,1812.12
West Jaintia Hills,135,249.46,317,344.86
West Khasi Hills,1,0.36,72,132.8
