District,SUI Amt. % NPA,SUI NPA No.,SUI O/S Amt,SUI O/S No.,SUI Total Disbursement Amt (CY),SUI Total Disbursement No. (CY),ST Male Account Amt (CY),ST Male Account No. (CY),SC Male Account Amt (CY),SC Male Account No. (CY),Female Account Amt (CY),Female Account No. (CY)
East Garo Hills,0,0,24.72,3,29.05,2,19,1,0,0,10.05,1
East Jaintia Hills,7.61,2,1049.3,40,262.19,8,213.52,6,0,0,48.67,2
East Khasi Hills,3.1,14,3889.93,253,1738.41,133,729.56,66,19.89,6,988.96,61
North Garo Hills,0,0,14.64,1,14.32,1,14.32,1,0,0,0,0
Ri Bhoi,4.08,4,974.2,50,313.18,20,153.09,8,0,0,160.09,12
South Garo Hills,0,0,32.44,2,0,0,0,0,0,0,0,0
South West Garo Hills,7.66,1,174.33,8,69.7,2,50,1,0,0,19.7,1
South West Khasi Hills,0,0,6.69,1,0,0,0,0,0,0,0,0
West Garo Hills,6.1,4,688.4,43,542.05,42,117.39,15,19,1,405.66,26
West Jaintia Hills,8.91,4,729.77,56,234.99,12,44,2,0,0,190.99,10
West Khasi Hills,100,4,18.72,4,0.74,1,0,0,0,0,0.74,1
